Key,Translation,Version,Comment (context for translators)
all.time,Od samego początku,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Samotnie,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Jasność otoczenia,03.09.2022,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Aż za jasno,,Ambient light option when everything will be very bright
amb.color.dark,Mgła wojny,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,Immersyjne zaciemnienie,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,Srednie,,"Medium ambient light option, between bright and dark"
ammo,Amunicja,,
ammo.bar,Amunicja: {0}/{1},,
ammo.type,Rodzaj amunicji: {0},,
amount.left,Pozostało,,
animated.bg,Animacja kosmosu w tle,,
anomalies,Anomalie,,
anomalies.info,"Ten objekt posiada anomalie, które mogą być odnalezione podczas wypraw. Mogą być niebezpieczne!",,
apply,Zastosuj,,
area.size,Rozmiar {0},,
arriving.soon,Przybywa: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,"Ta akcja narusza Pierwsze Prawo Robotyki Asimova. Robot nie może skrzywdzić człowieka ani przez zaniechanie dopuścić, aby człowiek doznał krzywdy. Przerwano.",,
asimov.violation.3,"Ta akcja narusza Trzecie Prawo Robotyki Asimova. Robot musi chronić swoją egzystencję, o ile taka ochrona nie jest sprzeczna z Pierwszym lub Drugim Prawem. Przerywanie.",,
assemble,Złóż,,
assembling.now,Składa {0},,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like ""Assembling Microchip"")
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like ""Assembling 85%"")"
assigned.to.selected.worker,Przypisane do wybranego pracownika,,
assigned.to.worker,Przypisano do: {0},,
assigned.worker,Przypisano,,
asteroid,Asteroida,,
asteroid.avoided,Dobre wieści. Uniknęliśmy kolizji z asteroidą!,,
asteroid.impact,Uderzenie asteroidy,,
asteroid.incoming,Nadciąga asteroida,,
ate.at.makeshift.table,Zjadł przy prowizorycznym stole,,
ate.at.table,Zjadł przy stole,,
ate.from.a.bowl,Zjadł z miski,,
ate.without.bowl,Zjadł bez miski,,
ate.without.table,Zjadł bez stołu,,
attachment.Friendship,Przyjaźń,,
attachment.Friendship.about,Ta istota jest uznana jako przyjaciel,,
attachment.PersonBed,Łóżko,,
attachment.PersonBed.about,Ta osoba uznaje to łóżko jako własne. Będzie tu spać kiedy to możliwe.,,
attachment.PetBed,Łóżko zwierzaka,,
attachment.PetBed.about,To zwierzę uznaje to łóżko jako własne. Będzie tu spać kiedy to możliwe.,,
attention,Uwaga,,
attracted.to,Preferuje,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"Jeśli włączone, źródła dźwięku z otoczenia (różne dźwięki urządzeń, hałas silnika itp.) będą ciche, gdy będą z dala od kamery.",,
audio.fx.cutoff.tip,"Jeśli włączone, źródła dźwięku (brzęczenie, eksplozje, itp.) będą ciche, gdy będą z dala od kamery.",,
audio.max.silence,Cisza pomiędzy uworami: {0},,
audio.max.silence.tip,Nastawia czas ciszy pomiędzy uworami.,,
audio.music.cutoff.tip,"Jeśli włączone, muzyka będzie grała ciszej, im bliżej jest kamera.",,
audio.ui.hover,Dzwięk interfejsu użytkownika,,
auto,Auto,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Auto Czyszczenie,,
auto.clean.info,"Jeśli Auto Czyszczenie jest włączone, pracownicy będą automactycznie czyścić te urządzenie jeśli będzie brudne.",,
auto.close,Auto Zamykanie,,
auto.harvest,Auto Zbieranie,,
auto.haul,Auto Holowanie,,
auto.haul.info,"Pracownicy będą automatycznie holować kompatybilne przedmioty do tego obiektu, chyba że auto-holowanie jest wyłączone w konfiguracji urządzenia.",,
auto.refill.amount,Ilość do Auto Uzupełnienia,,
auto.refill.amount.help,"To jest maksymalna ilość paliwa, którą pracownicy będą uzupełniać do tego urządzenia. Zadanie uzupełniania będzie automatycznie wydane, gdy poziom paliwa spadnie poniżej 50% ilości auto-uzupełniania.",27.06.2022,
auto.report.consent,Zezwolenie na auto-raport,,
auto.report.consent.info,"Czy chciałbyś/chciałabyś automatycznie przesyłąć błędy i crashe do dewelopera?<br><br>Te raporty są nam potrzebne, aby naprawiać porblemy związane z grą, więc prosimy o włączenie tej opcji.<br><br>Więcej informacji znajdziesz na https://stardeusgame.com/privacy/",,
auto.reporting,Auto Raportowanie błędów,,
auto.reporting.tip,"Jeśli włączone, będzie automatycznie raportować crashe i błędy do dewelopera. Prosimy, aby było włączone, pomoże to w ulepszaniu i usprawnianiu gry. Dowiedz się jakie informacje są przesyłane na stardeusgame.com/privacy/",,
auto.save.on.exit,Auto Zapis podczas wyjścia,,
auto.save.periodic,Cykliczny Auto Zapis,,
autoclean.amount,Ilość Auto Czyszczenia,,
autoclean.disabled,Auto Czyszczenie wyłączone,,
autoclean.dust.amount,Granica Auto Czyszczenia,,
autoclean.dust.tooltip,Automatycznie stworzy zadanie sprzątania panelu gdy poziom kurzu osiągnie tę wartość,,
autoclean.enabled,Auto Czyszczenie włączone,,
autoclean.interval.minutes,Cykliczne Auto Czyszczenie (w minutach),,
autosave,Auto Zapis,,
autosave.short,A,,
autosaving,Auto Zapisywanie,,
autoscale.on,Włączanie Auto Skalowania interfejsu użytkownika,,
autoscale.on.why,"Zmieniono rozdzielczość. Auto Skalowanie interfejsu użytkownika, ponieważ poprzednia wartość była poza dostępną skalą.",,
available.count,Posiadane: {0},22.12.2022,Tells how many items of that type are owned by the player. {0} is a number
available.materials,Inwentarz,17.06.2022,
available.materials.none,Brak dostępnych materiałów!,,
available.memory,Dostępna pamięć: {0}EB,,
available.storage,Dostępna pojemność: {0}ZB,,
available.tasks,Następne zadania,,
basic,Podstawowe,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Poziom naładowania baterii,,
battery.charge.bar,Poziom baterii: {0},12.07.2022,
battery.charge.rate,Szybkość ładowania,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,Szybkość rozładowania,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Bateria się rozładowała,,
battery.info,Bateria: {0},,
battery.mode,Tryb: {0},,
battery.state,Stan,,
battery.state.Charging,Ładuje się,,
battery.state.Discharging,Rozładowuje się,,
battery.state.Idle,Bezczynna,,
battery.ttd,Czas do rozładowania,,
battery.ttd.tip,Czas do rozładowania baterii od aktualnego poziomu przy mocy wyładowania {0},,
beautiful.surroundings,Piękne otoczenie,,
being.can.reach,{0} może iść do {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} nie jest w stanie dojść do {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} zginął,,
being.no.longer.available,Istota nie jest już dostępna,,
being.taking.damage,Otrzymał obrażenia od {0},,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0} uważa że {1} jest bezpiecznym miejscem,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0} uważa że {1} nie jest bezpiecznym miejscem!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} obudził się z zastoju,17.05.2022,
beings,Istoty,,
beings.carrier01,Dron Dostawczy,,
beings.carrier01.desc,"Zwinny, latający dron. Potrafi holować i konserwować.",,
beings.cat01,Kot,,
beings.cat01.desc,"Mały, udomowiony, mięsożerny ssak z miękkim futrem, krótkim pyszczkiem i wyciąganymi pazurami. Jest powszechnie trzymany jako zwierzę domowe, oraz używany do łapania myszy. Wytworzonych zostało wiele ras.",12.09.2022,
beings.cleaningbot01,Bot do Czyszczenia,,
beings.cleaningbot01.desc,Inteligentny robot-odkurzacz z jednym zadaniem - czyszczeniem podłogi,,
beings.crawler01,Pełzak,,
beings.crawler01.desc,Rasa obcych podobna do pająków. Wyglądają niebezpiecznie.,,
beings.dog01,Pies,,
beings.dog01.desc,"Udomowiony, mięsożerny ssak, posiadający długi pysk, wyostrzony zmysł węchu i niewyciągane pazury. Wydaje dzwięki szczekania, wycia i skomlenia.",12.09.2022,
beings.drone01,Dron Budowniczy,,
beings.drone01.desc,"Są szybkie i potrafią latać. Nie udzwigną wiele, i nie są w stanie wykonać zaawansowanych poleceń. Potrzebuje Stacji Ładującej by się naładować. Przy niskiej mocy baterii, będzie wolny i mało produktywny. Możesz je stworzyć używajać Montera.",,
beings.human01,Człowiek,,
beings.human01.desc,Kiedyś też nim byłeś...,,
beings.robot01,Robot Budowniczy,,
beings.robot01.desc,"Roboty świetnie radzą sobie z mechanicznymi zadaniami i mogą wykonywać zaawansowane prace budowlane, do których inni mogą nie być zdolni. Są powolne i potrzebują solidnego podłoża do poruszania się.",13.11.2022,
beings.sentry01,Dron Strażniczy,,
beings.sentry01.desc,Głównym zadaniem Drona Strażniczego jest walka. Posiada więcej zdrowia niż zwykły dron. Dzięki dodatkowej insulacji jest świetnym strażakiem.,,
beta.wave.sync.bar,Synchornizacja Fal Beta: {0},,
biowaste.accumulation,Akumulacja bioodpadów,,
biowaste.amount,Ilość bioodpadów,,
biowaste.amount.bar,Bioodpady: {0}/{1},,
biowaste.amount.warning,Zalecane czyszczenie bioodpadów,,
birth.date,Data urodzin,,
blocked.door,Drzwi zablokowane,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Połowa,,
bomb.arm,Uzbrój materiał wybuchowy,,
bomb.armed,Materiał wybuchowy: uzbrojony,,
bomb.controls,Kontrola materiału wybuchowego,,
bomb.detonate.now,Detonacja,,
bomb.disarm,Rozbrój materiał wybuchowy,,
bomb.unarmed,Materiał wybuchowy: rozbrojony,,
bored,Znudzony,,
brain.stat.CanCompromiseHullIntegrity,Możliwe naruszenie integralności kadłuba,,
brain.stat.CanCompromiseSafety,Możliwe naruszenie bezpieczeństwa,,
brain.stat.Completed,Wykonane zadania,,
brain.stat.CompletedStreak,Seria wykonanych zadań,,
brain.stat.Failed,Nieudane zadania,,
brain.stat.FailedStreak,Seria nieudanych zadań,,
brain.stat.JobPriority0,Zerowy priorytet pracy,,
brain.stat.LastEvalTime,Ostatnia ewaluacja,,
brain.stat.LastFailedAd,Ostatnio nieudany,,
brain.stat.LastSuccessfulAd,Ostatni sukces,,
brain.stat.NoNeed,Brak potrzeby,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,Niewystarczające umiejętności,,
brain.stat.Reluctant,Pracownik niechętnie wykonuje pracę,,
brain.stat.Total,Dostępne zadania,,
brain.stat.UnableToFly,Nie potrafi latać,,
brain.stat.UnreachableLoc,Z nieosiągalną lokalizacją,,
brain.stat.UnreachableLocMem,Nieosiągalne miejsce w pamięci,,
brain.stat.UnreachableMats,Z nieosiągalnymi materiałami,,
brain.stat.Unsafe,Zadania w niebezpiecznym miejscu,,
brain.stat.Workable,Zadania możliwe do wykonania,,
breach.capsule.incoming,Nadciąga Kapsuła do Abordażu,,
breakdown.BreakdownDeconstruct,Załamanie: Psuje co popadnie,,
breakdown.BreakdownDeconstruct.desc,{0} niszczy różne rzeczy przez załamanie psychiczne,,
breakdown.BreakdownInsanity,Niepoczytalność,,
breakdown.BreakdownInsanity.desc,"Przez zbyt dużą ilość stresu, {0} stał/a się niepoczytalny. Powinno przejść, chyba że stanie się coś bardzo złego...",,
breakdown.BreakdownRoamAround,Załamanie: Kontemplacja nad egzystencją,,
breakdown.BreakdownRoamAround.desc,"{0} chodzi bez celu, wpatrując się w pustkę",,
breakdown.BreakdownSpaceDiarrhea,Kolonista zarażony,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} złapał Kosmiczną Biegunkę,,
breakdown.BreakdownStartFire,Wznieca pożary,,
breakdown.BreakdownStartFire.desc,{0} spaceruje i podpala losowe rzeczy,,
breakdown.CrawlerAttached,Stworzenie przyczepiło się do kolonisty!,,
breakdown.CrawlerAttached.desc,Obca istota przyczepiła się do twarzy {0}!,,
breakdown.Deconstruct,Dekonstruuje losowe rzeczy,,
brew,Nalej,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Nalewa: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,Mostek Sterowania,,
build.a.copy,Zbuduj kopię,,
build.connector,Zbuduj Łącznik,,
bullet,Nabój,,
bullet.target,Cel: {0},,
buy,Kup,,
call.back,Zarządź powrót ekspecydji,,
calories,Kalorie,,
cancel,Anuluj,,
cancel.drag.dist.px,Ignoruj przeciągnięcia gdy są na odległość: {0} pikseli,,
cancel.task,Anuluj zadanie,,
cannot.be.empty,Nie może być puste,,
cannot.build.floor.not.constructed,Brak zbudowanego podłoża,,
cannot.build.floor.not.constructed.info,Możesz zlecić budowanie ścian i objektów gdy jest pod nimi podłoga.,,
cannot.change.lock.state,Nie można zmienić statusu zamknięcia,,
cannot.create.template,Nie można stworzyć szablonu,,
