Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
ad.rej.worker.offline,Worker went offline,,
add,Add,,
add.log.entry,Add Log Entry,,
add.to.queue,Add to Queue,,
adj.rej.unreachable,Target Unreachable,,
advanced,Advanced,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,Cancel {0},,
advert.priority,Task Priority: {0},,
advert.priority.down,Decrease Priority,,
advert.priority.up,Increase Priority,,
advert.reject.info,Task rejected <i>[{0}]</i>: {1} - {2},,
advert.rejected,Rejected,,
advert.retry,Retry Task,,
advert.task,Task <i>[{0}]</i>: {1},,
aesthetics,Aesthetics,,
aesthetics.at,Aesthetics: {0}: {1:0.0},,
after.settle,Your human colony has settled on {0}. It took {1} days to find and terraform the planet. {2} colonists have decided to stay on the ship.<br><br>You may now continue exploring the Universe for as long as you wish.,,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Age,,
airtightness.at,Airtightness at {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,All Time,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Alone,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Ambient Light,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Way Too Bright,,Ambient light option when everything will be very bright
amb.color.dark,Fog of War,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,Immersive Dim,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,Medium,,"Medium ambient light option, between bright and dark"
ammo,Ammo,,
ammo.bar,Ammo: {0}/{1},,
ammo.type,Ammo Type: {0},,
amount.left,Amount Left,,
animated.bg,Space Background Animation,,
anomalies,Anomalies,,
anomalies.info,This object has anomalies that can be found during expeditions. These can be dangerous!,,
apply,Apply,,
area.size,Size {0},,
arriving.soon,Arriving: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,"This action violates Asimov's First Law of Robotics. A robot may not injure a human being or, through inaction, allow a human being to come to harm. Aborting.",,
asimov.violation.3,This action violates Asimov's Third Law of Robotics. A robot must protect its own existence as long as such protection does not conflict with the First or Second Law. Aborting.,,
assemble,Assemble,,
assembling.now,Assembling {0},,
assigned.to.selected.worker,Assigned to selected worker,,
assigned.to.worker,Assigned to: {0},,
assigned.worker,Assigned,,
asteroid,Asteroid,,
asteroid.avoided,"Great news, everyone. We have avoided an asteroid collision! ",,
asteroid.impact,Asteroid Impact,,
asteroid.incoming,Incoming Asteroid,,
ate.at.makeshift.table,Ate at makeshift table,,
ate.at.table,Ate at a table,,
ate.from.a.bowl,Ate from a bowl,,
ate.without.bowl,Ate without bowl,,
ate.without.table,Ate without table,,
attachment.Friendship,Friendship,,
attachment.Friendship.about,This being is considered to be a friend,,
attachment.PersonBed,Bed,,
attachment.PersonBed.about,This person considers this bed as their property. They will try to sleep here when they can.,,
attachment.PetBed,Pet Bed,,
attachment.PetBed.about,This pet considers this bed as their property. They will try to sleep here when they can.,,
attention,Attention,,
attracted.to,Attracted To,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"If enabled, ambience sources (various device sounds, engine noise, etc.) will sound more muffled at a distance.",,
audio.fx.cutoff.tip,"If enabled, sound effects (beeps, explosions, etc.) will sound more muffled at a distance.",,
audio.max.silence,Silence between tracks: {0},,
audio.max.silence.tip,Adjusts the periods of silence in between the music tracks. ,,
audio.music.cutoff.tip,"If enabled, music will sound more muffled when you zoom in close.",,
audio.ui.hover,UI Hover Sounds,,
auto,Auto,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Auto Clean,,
auto.clean.info,"If Auto Clean is enabled, workers will automatically clean this device when it gets dirty.",,
auto.close,Auto Close,,
auto.harvest,Auto Harvest,,
auto.haul,Auto Haul,,
auto.haul.info,Workers will automatically haul compatible items to this facility unless Auto Haul is disabled in the device configuration.,,
auto.refill.amount,Auto Refill Amount,,
auto.refill.amount.help,This is the maximum amount of fuel that workers will put into the device. The Refill task will be automatically created when fuel drops below 50% of the auto refill amount.,2022-06-27,
auto.report.consent,Auto Reporting Consent,,
auto.report.consent.info,"Would you like to automatically report game crashes and errors to the developer?<br><br>It is very important to have these reports in order to fix problems and issues with the game, so please consider accepting this.<br><br>More details at https://stardeusgame.com/privacy/",,
auto.reporting,Automatic Error Reporting,,
auto.reporting.tip,"If enabled, it will send in-game errors, exceptions, and crashes to the developer. Please consider leaving this enabled, if you would like the game to become better. Find out more about what is being sent at stardeusgame.com/privacy/",,
auto.save.on.exit,Auto Save on Exit,,
auto.save.periodic,Periodic Auto Save,,
autoclean.amount,Auto Clean Amount,,
autoclean.disabled,Auto Clean Disabled,,
autoclean.dust.amount,Auto Clean Threshold,,
autoclean.dust.tooltip,Will automatically create a task to clean the panel when dust level reaches this value,,
autoclean.enabled,Auto Clean Enabled,,
autoclean.interval.minutes,Auto Clean Interval (minutes),,
autosave,Auto Save,,
autosave.short,A,,
autosaving,Auto saving,,
autoscale.on,Enabling UI Auto Scale,,
autoscale.on.why,Screen resolution changed. Auto scaling the UI because previous value was out of valid range.,,
available.count,Available: {0},,
available.materials,Inventory,2022-06-17,
available.materials.none,No materials available!,,
available.memory,Available memory: {0}EB,,
available.storage,Available storage: {0}ZB,,
available.tasks,Pending Tasks,,
basic,Basic,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Battery Charge,,
battery.charge.bar,Charge: {0},2022-07-12,
battery.charge.rate,Charge Rate,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,Discharge Rate,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Battery Discharged,,
battery.info,Battery: {0},,
battery.mode,Mode: {0},,
battery.state,State,,
battery.state.Charging,Charging,,
battery.state.Discharging,Discharging,,
battery.state.Idle,Idle,,
battery.ttd,Time Till Discharge,,
battery.ttd.tip,Time till full discharge from current charge value at max discharge rate of {0},,
beautiful.surroundings,Beautiful surroundings,,
being.can.reach,{0} can go to {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} cannot go to {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} died,,
being.no.longer.available,Being is no longer available,,
being.taking.damage,Took {0} Damage,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0} thinks {1} is safe,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0} thinks {1} is not safe!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} woke up from stasis,2022-05-17,
beings,Beings,,
beings.carrier01,Carrier Drone,,
beings.carrier01.desc,An agile flying drone that is capable of simple hauling and maintenance tasks only.,,
beings.cat01,Cat,,
beings.cat01.desc,"A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws. It is widely kept as a pet or for catching mice, and many breeds have been developed.",2022-09-12,
beings.cleaningbot01,Cleaning Bot,,
beings.cleaningbot01.desc,A smart robot vacuum with only one job - cleaning the floors,,
beings.crawler01,Crawler,,
beings.crawler01.desc,An unseen spider-like alien species. Looks dangerous.,,
beings.dog01,Dog,,
beings.dog01.desc,"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, non-retractable claws, and a barking, howling, or whining voice",2022-09-12,
beings.drone01,Construction Drone,,
beings.drone01.desc,"Drones are fast and can fly in open space. They cannot carry much weight, and are unable to perform advanced tasks. Needs a Charge Station to recharge. Will become slow and inefficient when energy is low. You can create them using an Assembler.",,
beings.human01,Human,,
beings.human01.desc,Someone like you used to be,,
beings.robot01,Construction Robot,,
beings.robot01.desc,"Robots are great at mechanical tasks and can perform advanced construction work. They are not as fast, but are able to carry large amounts of materials. Needs solid ground to move, and will get stuck if surrounding floor is deconstructed. Needs a Charge Station to recharge. Will become slow and inefficient when energy is low. You can create them using an Assembler.",,
beings.sentry01,Sentry Drone,,
beings.sentry01.desc,"A security drone that doesn't do much work, but is built for combat. Has more health than a regular drone. Extra insulation makes them great firefighters.",,
beta.wave.sync.bar,Beta Wave Synchronization: {0},,
biowaste.accumulation,Biowaste Accumulation,,
biowaste.amount,Biowaste Amount,,
biowaste.amount.bar,Biowaste: {0}/{1},,
biowaste.amount.warning,Biowaste cleaning recommended,,
birth.date,Birth Date,,
blocked.door,Blocked Door,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Half,,
bomb.arm,Arm Explosive,,
bomb.armed,Explosive: Armed,,
bomb.controls,Explosive Controls,,
bomb.detonate.now,Detonate now,,
bomb.disarm,Disarm Explosive,,
bomb.unarmed,Explosive: Unarmed,,
bored,Bored,,
brain.stat.CanCompromiseHullIntegrity,Could compromise hull integrity,,
brain.stat.CanCompromiseSafety,Could compromise safety,,
brain.stat.Completed,Completed Tasks,,
brain.stat.CompletedStreak,Completed Streak,,
brain.stat.Failed,Failed Tasks,,
brain.stat.FailedStreak,Failed Streak,,
brain.stat.JobPriority0,No job priority,,
brain.stat.LastEvalTime,Last Evaluation,,
brain.stat.LastFailedAd,Last Failed,,
brain.stat.LastSuccessfulAd,Last Success,,
brain.stat.NoNeed,No need ,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,Not enough skill,,
brain.stat.Reluctant,Worker reluctant to do the job,,
brain.stat.Total,Available Tasks,,
brain.stat.UnableToFly,Unable to fly,,
brain.stat.UnreachableLoc,With Unreachable Location,,
brain.stat.UnreachableLocMem,Unreachable Location in Memory,,
brain.stat.UnreachableMats,With Unreachable Materials,,
brain.stat.Unsafe,Tasks at unsafe location,,
brain.stat.Workable,Workable Tasks,,
breach.capsule.incoming,Incoming Breach Capsule,,
breakdown.BreakdownDeconstruct,Breakdown: Breaking Things,,
breakdown.BreakdownDeconstruct.desc,{0} is destroying random objects due to a mental breakdown,,
breakdown.BreakdownInsanity,Insanity,,
breakdown.BreakdownInsanity.desc,"{0} had too much stress and went insane. It should pass, unless something bad happens.",,
breakdown.BreakdownRoamAround,Breakdown: Roaming Around,,
breakdown.BreakdownRoamAround.desc,"{0} is roaming around aimlessly, staring at the void",,
breakdown.BreakdownSpaceDiarrhea,Colonist Infected,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} was infected with Space Diarrhea,,
breakdown.BreakdownStartFire,Starting fires,,
breakdown.BreakdownStartFire.desc,{0} seems to be strolling around and setting things on fire,,
breakdown.CrawlerAttached,Creature attached itself to a colonist!,,
breakdown.CrawlerAttached.desc,Alien creature attached itself to {0}'s face!,,
breakdown.Deconstruct,Deconstructing random objects,,
brew,Brew,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Brewing: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,Bridge Controls,,
build.a.copy,Build a Copy,,
build.connector,Build Connector,,
bullet,Bullet,,
bullet.target,Target: {0},,
buy,Buy,,
call.back,Call expedition back,,
calories,Calories,,
cancel,Cancel,,
cancel.drag.dist.px,Ignored drag distance: {0} pixels,,
cancel.task,Cancel Task,,
cannot.be.empty,Cannot be empty,,
cannot.build.floor.not.constructed,Floor Is Not Constructed,,
cannot.build.floor.not.constructed.info,You can only order the construction of walls and objects if the floor below has already been constructed.,,
cannot.change.lock.state,Cannot change lock state,,
cannot.create.template,Cannot Create Template,,
cannot.enter.no.tech,Cannot enter this object yet. Necessary technology is not available.,,
cannot.enter.space.object.nearby,We cannot change the Starmap scope. There seems to be a moving space object nearby that can interfere with the process.,,
cannot.enter.while.moving,Cannot enter this object while moving. Please wait for a complete stop. Velocity Vector should show zero on all axes.,,
cannot.reach.position,Cannot reach this position,,
cannot.save.gen,Cannot save the game right now. Please try again when current operation has finished.,,
carbohydrates,Carbohydrates,,
carbon.buildup,Carbon Buildup,,
carbon.buildup.help,"Reactors accumulate carbon buildup over time. When buildup reaches 100%, the reactor will eject the accumulated carbon.",,
change,Change,,
change.color,Change Color,,
change.target.material,Change Target Material,,
changelog,Changelog,,
charge.time.left,Full Charge In,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%
charging,Charging,,
chart,Chart,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.
chasing.target,Chasing {0},,"{0} will be the target (person) name (i.e. ""Chasing John"")"
choose.color,Choose Color,,
clean.biowaste,Clean Biowaste,,
clean.dust,Clean Dust,,
clean.floors,Clean Floors,,
clean.now,Clean Now,,
clean.priority,Cleaning Priority,,
clean.solar.panel,Clean Solar Panel,,
cleaning.bot,Cleaning Bot,,A robot that cleans floors
cleaning.floors,Cleaning Floors,,Displayed when a person or robot is cleaning floors (action).
cleaning.ocd,Cleaning OCD,,"Name of a human trait, which makes someone become obsessive about cleaning. OCD is short for Obsessive Compulsive Disorder."
clear.all,Clear All,,
clear.history,Clear History,,
click.input.to.rebind,Activate new input (waiting for 5 sec),,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say ""Press a button"" because it may not always be a button (gamepad stick is a small joystick, etc)"
click.to.bind,Click to bind,,
clipboard.is.empty,Clipboard is empty,,
clone,Clone,,
clone.desc,"A clone is a being that was grown in a laboratory, rather than born in a conventional way. Clones look and act like adults regardless of their age.",,
cloning.bar,Cloning: {0},,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. I.e. ""Cloning: Human"""
close,Close,,
close.floor.vent,Close Floor Vent,,
close.starmap,Close Starmap,,
close.vent,Close Vent,,
codex,Codex,,
codex.blueprints,Blueprints,,
codex.blueprints.mode.All,All,,
codex.blueprints.mode.Locked,Locked,,
codex.blueprints.mode.Unlocked,Unlocked,,
codex.entry,Codex Entry,,
codex.equipment,Equipment,,
codex.factions,Factions,,
codex.m.basebuilding,Base Building,,
codex.m.basebuilding.buildacopy,Building copies of existing objects,,
codex.m.basebuilding.buildacopy.desc,"If you want to build a copy of something you already have, select the item and choose the ""Build a Copy"" menu item in the Info Panel or the Context Menu. You can also use the shortcut {0} while the object is selected.<br><br>To build a copy of an Energy Connector, drag a connection and drop it on an empty floor tile (configurable, can be turned off).<br><br>If you cannot build a copy this way, double check if the blueprint is unlocked.",,
codex.m.basebuilding.devicewear,Device Wear,,
codex.m.basebuilding.devicewear.desc,"Most devices, especially those that use electricity, will lose their durability over time. Some actions taken by you or your colonists may speed up the wear. For example, turning the device off and on adds some wear.<br><br>When a device's wear reaches 100%, the device will start receiving ""age"" damage upon use. At that point the device will no longer be repairable. You can deconstruct the device to reclaim the materials, then build a brand new one to replace it.",,
codex.m.basebuilding.relocatingobjects,Relocating Objects,,
codex.m.basebuilding.relocatingobjects.desc,"You will often want to move some device to a different location. Select the device and choose the ""Relocate"" menu item in the Info Panel or the Context Menu. You can also use the shortcut {0} while the device is selected.<br><br>You can relocate the device on top of itself. This is useful when you want to change the rotation.<br><br>Relocating a device can involve a construction skill check. Complex devices like the Ship Computer or Stasis Array can only be relocated by highly skilled workers.<br><br>If you select multiple objects, you can relocate them all at the same time.",,
codex.m.basebuilding.teleporters,Teleporters,,
codex.m.basebuilding.teleporters.desc,"<b>Teleporter</b> devices can be used to create one-way portals to other teleporter devices.<br><br>Two teleporters can link to each other, creating a two-way portal.<br><br>A functioning teleporter is also required for trading with merchant ships, space stations, or planetary outposts.",,
codex.m.basebuilding.winching,Winching,,
codex.m.basebuilding.winching.desc,"You can use the Winch Hook and Winch Anchor to reel in a broken section of the ship. Build the Winch Hook near the edge of your ship, and the Winch Anchor near the edge of a disconnected ship section. Then select the Winch Hook and use the Info Panel or Context Menu to Reel In the section.<br><br> The operation will be aborted if there are obstacles in the way (Solar Panels, Engines, etc).<br><br>You have to unlock Winch tech in the Research Tree to acquire Winch Hook and Winch Anchor blueprints.",,
codex.m.bigquestions,Big Questions,,
codex.m.bigquestions.endgoal,End Goal,,
