Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
aesthetics.at,미관: {0}: {1:0.0},,
after.settle,인간의 콜로니가 {0}에 정착했습니다. 행성을 발견하고 테라포밍이 완료되기 까지 {1}일이 걸렸습니다. {2}명의 개척자가 함선에 남기로 결정했습니다.<br><br>이제 원하는 만큼 우주를 계속 탐험할 수 있습니다.,,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,나이,,
airtightness.at,{0}의 밀폐성: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,모든 기간,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,고독감,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,앰비언트 라이트,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,매우 밝게,,Ambient light option when everything will be very bright
amb.color.dark,전쟁의 안개,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,*몰입형 딥,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,중간,,"Medium ambient light option, between bright and dark"
ammo,탄약,,
ammo.bar,탄약: {0}/{1},,
ammo.type,탄약 유형: {0},,
amount.left,남은 금액,,
animated.bg,우주 배경 애니메이션,,
anomalies,아노말리,,
anomalies.info,이 천체에는 탐사중 발견할 수 있는 아노말리가 있습니다. 이것은 위험할 수 있습니다!,,
apply,적용,,
area.size,{0} 타일,,
arriving.soon,도착: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,이 행동은 아시모프의 로봇 공학의 제1원칙에 위배됩니다. 로봇은 인간에게 해를 입혀서는 안 된다. 그리고 위험에 처한 인간을 모른 척해서도안 됩니다. 중단합니다.,,
asimov.violation.3,"이 행동은 아시모프의 로봇 공학의 제3원칙에 위배됩니다. 제1원칙과 제2원칙에 위배되지 않는 한, 로봇은 로봇 자신을 지켜야 한다. 중단합니다.  ",,
assemble,조립,,
assembling.now,{0} 조립 중,,
assigned.to.selected.worker,선택된 작업 유닛에게 할당됨,,
assigned.to.worker,할당 대상: {0},,
assigned.worker,할당됨,,
asteroid,소행성,,
asteroid.avoided,좋은 소식입니다. 우리는 소행성 충돌을 피했습니다!,,
asteroid.impact,소행성 충돌,,
asteroid.incoming,소행성이 접근,,
ate.at.makeshift.table,임시 테이블에서 섭취,,
ate.at.table,테이블에서 식사함,,
ate.from.a.bowl,그릇 사용해서 먹음,,
ate.without.bowl,그릇을 사용안하고 먹음,,
ate.without.table,테이블 이외의 장소에서 식사,,
attachment.Friendship,프랜드쉽,,
attachment.Friendship.about,이 존재는 우호적임,,
attachment.PersonBed,침대,,
attachment.PersonBed.about,이 침대를 자신의 것으로 생각합니다. 가능하면 여기서 자려고 할 것입니다.,,
attachment.PetBed,애완 동물 침대,,
attachment.PetBed.about,이 동물은 이 침대를 자신의 것으로 생각합니다. 가능하면 여기서 자려고 할 것입니다.,,
attention,주의,,
attracted.to,취향,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"활성화하면 환경음(각종 장치의 작동음, 엔진음 등)이 거리에 따라 가득 찬 느낌으로 들리게 됩니다.",,
audio.fx.cutoff.tip,"활성화하면 효과음(삐 소리, 폭발음 등)이 거리에 따라 들리게 됩니다.",,
audio.max.silence,트랙 간 재생 간격: {0},,
audio.max.silence.tip,음악 트랙 사이의 재생 간격을 조정합니다.,,
audio.music.cutoff.tip,활성화하면 확대할 때 사운드가 더 작게 들립니다.,,
audio.ui.hover,UI 버튼 효과음,,
auto,자동,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,자동 청소,,
auto.clean.info,자동 청소를 활성화된 경우 작업 유닛이 더러워지면 이 장치를 자동으로 청소합니다.,,
auto.close,자동 닫기,,
auto.harvest,자동 수확,,
auto.haul,자동 운반,,
auto.haul.info,"장치 설정에서 자동운반이 비활성화되어 않는 한, 작업 유닛이 자동으로 적절한 아이템을 마음대로 운반합니다.",,
auto.refill.amount,자동 보충 시 보충량,,
auto.refill.amount.help,장치에 넣을 최대 연료량입니다. 연료가 설정값의 50% 이하가 되면 보충 작업이 자동으로 생성됩니다.,2022-06-27,
auto.report.consent,자동 보고서 동의,,
auto.report.consent.info,개발자에게 게임 충돌 및 오류를 자동으로 보고하시겠습니까?<br><br>게임의 문제 및 문제를 해결하기 위해 이러한 보고서를 갖는 것이 매우 중요하므로 수락을 고려하십시오.<br><br>자세한 내용은 https://stardeusgame.com/privacy/를 참조하세요.,,
auto.reporting,자동 오류 보고,,
auto.reporting.tip,"이 기능을 사용하면 게임 중 오류, 예외 및 충돌에 대한 데이터를 개발 팀에 보낼 수 있습니다. 게임을 더 잘하기 위해 협조 할 수 있다면 사용하도록 설정해 주시면 감사하겠습니다. 제출 데이터의 내용은 stardeusgame.com/privacy/에서 확인하시기 바랍니다.",,
auto.save.on.exit,저장하고 종료,,
auto.save.periodic,주기적 자동 저장,,
autoclean.amount,자동 청소 계수,,
autoclean.disabled,자동 청소 비활성화됨,,
autoclean.dust.amount,자동 청소 임계값,,
autoclean.dust.tooltip,태양 전지 패널의 먼지 부착량이 이 값에 도달하면 청소할 작업이 자동으로 생성됩니다.,,
autoclean.enabled,자동 청소 활성화됨,,
autoclean.interval.minutes,자동 청소 간격(분),,
autosave,자동 저장,,
autosave.short,A,,
autosaving,자동 저장,,
autoscale.on,UI 자동 크기 조정 활성화,,
autoscale.on.why,화면 해상도가 변경되었습니다. 이전 값이 유효한 범위를 벗어났기 때문에 UI 크기가 자동으로 조정되었습니다.,,
available.count,사용 가능: {0},,
available.materials,아이템 목록,2022-06-17,
available.materials.none,재료가 없습니다!,,
available.memory,사용 가능한 메모리: {0}EB,,
available.storage,사용 가능한 저장용량: {0}ZB,,
available.tasks,대기 중인 작업,,
basic,일반,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,배터리 충전량,,
battery.charge.bar,충전량: {0},2022-07-12,
battery.charge.rate,충전 입력,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,방전 출력,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,배터리,,
battery.info,배터리: {0},,
battery.mode,작동 모드: {0},,
battery.state,상태,,
battery.state.Charging,충전 중,,
battery.state.Discharging,방전 중,,
battery.state.Idle,대기 중,,
battery.ttd,방전까지의 시간,,
battery.ttd.tip,현재 충전량으로 최대 출력 {0}으로 방전되었을 때 배터리가 비워질 때까지의 시간입니다.,,
beautiful.surroundings,아름다운 주변 환경,,
being.can.reach,{0}은(는) {1}로 이동할 수 있습니다.,,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0}은(는) {1}로 이동할 수 없습니다.,,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} 죽음,,
being.no.longer.available,이 생명체는 더 이상 없습니다.,,
being.taking.damage,{0} 피해를 입음,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0}은(는) {1}이 안전하다고 생각합니다.,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0}은(는) {1}이 안전하지 않다고 생각합니다!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0}이(가) 동면 상태에서 깨어났습니다.,2022-05-17,
beings,생명체,,
beings.carrier01,캐리어 드론,,
beings.carrier01.desc,간단한 운반 및 유지 보수 작업만 가능한 민첩한 비행 드론입니다.,,
beings.cat01,고양이,,
beings.cat01.desc,"부드러운 털, 짧은 주둥이, 개폐식 발톱을 가진 작은 가축화된 육식성 포유류입니다. 애완용이나 쥐를 잡기 위해 널리 사육되며 많은 품종이 개발되었습니다.",2022-09-12,
beings.cleaningbot01,클리닝 봇,,
beings.cleaningbot01.desc,한 가지 일만 하는 스마트 로봇 청소기 - 바닥 청소,,
beings.crawler01,크롤러,,
beings.crawler01.desc,본 적도 없는 거미 같은 외계종입니다. 위험해 보입니다.,,
beings.dog01,개,,
beings.dog01.desc,"일반적으로 긴 주둥이, 예리한 후각, 움직일 수 없는 발톱, 짖는 소리, 짖는 소리 또는 징징거리는 목소리를 가진 길들여진 육식성 포유동물",2022-09-12,
beings.drone01,건설 드론,,
beings.drone01.desc,드론은 빠르고 탁 트인 공간에서 날 수 있습니다. 그들은 많은 무게를 지탱할 수 없으며 고급 작업을 수행할 수 없습니다. 충전하려면 충전 스테이션이 필요합니다. 에너지가 부족하면 느리고 비효율적입니다. 조립기를 사용하여 만들 수 있습니다.,,
beings.human01,인간,,
beings.human01.desc,너 같은 사람이 예전엔 그랬습니다.,,
beings.robot01,건설 로봇,,
beings.robot01.desc,로봇은 기계 작업에 능숙하며 고급 건설 작업을 수행할 수 있습니다. 빠르지는 않지만 많은 양의 재료를 운반할 수 있습니다. 움직이려면 단단한 땅이 필요하며 주변 바닥이 해체되면 갇힐 것입니다. 충전하려면 충전 스테이션이 필요합니다. 에너지가 부족하면 느리고 비효율적입니다. 조립기를 사용하여 만들 수 있습니다.,,
beings.sentry01,센트리 드론,,
beings.sentry01.desc,많은 일을 하지는 않지만 전투용으로 제작된 보안 드론입니다. 일반 드론보다 더 많은 체력을 가지고 있습니다. 추가 내열 장갑은 훌륭한 소방관으로 만들어 줍니다.,,
beta.wave.sync.bar,베타 웨이브 동기화: {0},,
biowaste.accumulation,바이오폐기물 축적,,
biowaste.amount,바이오폐기물 수량,,
biowaste.amount.bar,바이오폐기물: {0}/{1},,
biowaste.amount.warning,바이오폐기물 청소 권장,,
birth.date,생일,,
blocked.door,막힌 문,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,절반,,
bomb.arm,신관 작동,,
bomb.armed,폭발물: 장착됨,,
bomb.controls,폭발물 제어,,
bomb.detonate.now,지금 폭파,,
bomb.disarm,신관 해제,,
bomb.unarmed,폭발물: 해제,,
bored,지루함,,
brain.stat.CanCompromiseHullIntegrity,선체 무결성을 손상 시킬수 있음,,
brain.stat.CanCompromiseSafety,안전을 위협할 수 있음,,
brain.stat.Completed,완료된 작업,,
brain.stat.CompletedStreak,연속 성공,,
brain.stat.Failed,실패한 작업,,
brain.stat.FailedStreak,연속 실패,,
brain.stat.JobPriority0,작업 우선 순위 없음,,
brain.stat.LastEvalTime,마지막 할당,,
brain.stat.LastFailedAd,마지막 실패,,
brain.stat.LastSuccessfulAd,마지막 성공,,
brain.stat.NoNeed,요구 없음,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,스킬 부족,,
brain.stat.Reluctant,작업 유닛이 원하지 않는 작업,,
brain.stat.Total,실행 가능한 작업,,
brain.stat.UnableToFly,비행 불가능,,
brain.stat.UnreachableLoc,도달할 수 없는 장소,,
brain.stat.UnreachableLocMem,도달할 수 없는 장소의 메모리,,
brain.stat.UnreachableMats,도달할 수 없는 재료,,
brain.stat.Unsafe,위험 장소에서의 작업,,
brain.stat.Workable,사용 가능한 작업,,
breach.capsule.incoming,강습 캡슐 접근!,,
breakdown.BreakdownDeconstruct,정신 붕괴: 가까운 것을 파괴,,
breakdown.BreakdownDeconstruct.desc,{0}은 정신이 붕괴되어 가까운 물건을 파괴합니다,,
breakdown.BreakdownInsanity,정신 붕괴,,
breakdown.BreakdownInsanity.desc,"{0}은(는) 너무 많은 스트레스로 정신 붕괴 상태가 되었습니다. 아주 나쁜 일이 일어나지 않는 한, 스스로 마음을 가다듬을 수 있을 것입니다.",,
breakdown.BreakdownRoamAround,정신 붕괴: 배회,,
breakdown.BreakdownRoamAround.desc,{0}은(는) 무작정 돌아다니며 허공을 쳐다보고 있습니다.,,
breakdown.BreakdownSpaceDiarrhea,개척자 감염,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} 우주 설사에 감염되었습니다,,
breakdown.BreakdownStartFire,화재 발생,,
breakdown.BreakdownStartFire.desc,{0}이(가) 배회하며 방화를 저지로고 있습니다.,,
breakdown.CrawlerAttached,개척자에게 달라붙는 생물 존재!,,
breakdown.CrawlerAttached.desc,외계 생명체가 {0}의 얼굴에 달라붙었습니다!,,
breakdown.Deconstruct,무작위 오브젝트 분해,,
brew,로스팅 & 양조,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,로스팅 & 양조 중: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,함교 제어 단말기,,
build.a.copy,건설 복사,,
build.connector,커넥터 건설,,
bullet,총알,,
bullet.target,대상: {0},,
buy,구입,,
call.back,탐사에서 복귀,,
calories,칼로리,,
cancel,취소,,
cancel.drag.dist.px,무시된 드래그 거리: {0}픽셀,,
cancel.task,작업 취소,,
cannot.be.empty,비워둘수 없음,,
cannot.build.floor.not.constructed,바닥이 건설되지 않음,,
cannot.build.floor.not.constructed.info,벽과 장치는 바닥위에만 건설 명령을 내릴수 있습니다.,,
cannot.change.lock.state,잠금 상태 변경 불가능,,
cannot.create.template,템플릿 생성 불가능,,
cannot.enter.no.tech,현시점에서는 이 오브젝트에 진입할 수 있는 과학기술이 없습니다.,,
cannot.enter.space.object.nearby,스타맵 범위를 변경할 수 없습니다. 근처에 간섭중인 우주 물체가 있는 것 같습니다.,,
cannot.enter.while.moving,항해 중에는 오브젝트로 진입할 수 없습니다. 완전히 멈출 때까지 기다려 주십시오. 모든 방향에서 정지 상태여야 합니다.,,
cannot.reach.position,이 위치 도달 불가능,,
cannot.save.gen,지금은 저장할 수 없습니다. 현재 작업이 완료되면 다시 시도하세요.,,
carbohydrates,탄수화물,,
carbon.buildup,탄소 축적,,
carbon.buildup.help,반응기는 시간이 지남에 따라서 탄소가 잔여물로 축적됩니다. 축적량이 100%에 도달하면 반응기는 축적된 카본을 배출합니다.,,
change,변경,,
change.color,색상 변경,,
change.target.material,대상 재료 변경,,
changelog,업데이트 정보,,
charge.time.left,완전 충전 완료,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%
charging,충전 중,,
chart,차트,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.
