Key,Translation,Version,Comment (context for translators)
achievement.Money6,Мій Перший Мільйон,,
achievement.Money6.desc,"Статки сягнули 1,000,000 Старкредів",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Статки сягнули 10,000,000 Старкредів",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Статки сягнули 100,000,000 Старкредів",,
achievement.Money9,"Насправді, Гроші не Головне",,
achievement.Money9.desc,"Статки сягнули 1,000,000,000 Старкредів",,
achievement.OnePiece,Єдиний,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Секції розбитого корабля з'єднано у єдиний фрагмент,,
achievement.StasisDestroyed,Все Безнадійно,,
achievement.StasisDestroyed.desc,Стазис-Масив зруйновано,,
achievement.StockMarketLoss,Один з Нас,,
achievement.StockMarketLoss.desc,Втрачено $100K на Фондовому Ринку,,
achievement.TerraformAtmosphere,Тераформування Атмосфери,,
achievement.TerraformAtmosphere.desc,Створено атмосферу на планеті,,
achievement.TerraformBiosphere,Тераформування Біосфери,,
achievement.TerraformBiosphere.desc,Створено біосферу на планеті,,
achievement.TerraformOceans,Тераформування Гідросфери,,
achievement.TerraformOceans.desc,Створено океани та річки на планеті,,
achievement.TerraformTerrain,Тераформування Суші,,
achievement.TerraformTerrain.desc,Створено тверду поверхню та континенти на планеті,,
achievement.unlocked,Досягнення Розблоковано: {0},,
achievement.VoidRipper,Крізь Порожнечу,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Здійснено Подорож крізь Чорну Діру,,
achievement.WeaponizedCleaningBot,Справжній Бойовий Пилосос,,
achievement.WeaponizedCleaningBot.desc,Озброєно Бота-Чистильника,,
achievement.Winch,Лебідка,,
achievement.Winch.desc,Притягнуто одна до одної дві секції Корабля,,
achievements,Досягнення,,
achievements.disabled,Досягнення Відключено,,
act.AnimalEat,Їсть,,
act.BotDock,Під'єднується до Доку,,
act.BreakdownDeconstruct,Руйнує об'єкти навколо,,
act.BreakdownStartFire,Підпалює об'єкти навколо,,
act.BreakdownInsanity,Божеволіє,,
act.BreakdownRoamAround,Блукає Навкруги,,
act.BreakdownSpaceDiarrhea,Страждає від Космічної Діареї,,
act.BringResourcesAndConstruct,Виконує Монтажні Роботи,,
act.CatchTarget,Переслідує декого,,
act.Clean,Чистить,,
act.CleanDevice,Чистить Пристрій,,
act.CleanFloors,Чистить Підлогу,,
act.CleanSolarPanel,Чистить Сонячні Панелі,,
act.Construct,Монтує,,
act.CrawlerAttached,Намагається зняти із себе створіння,,
act.Deconstruct,Демонтує,,
act.Disassemble,Розбирає,,
act.Drink,П'є напій,,
act.Eat,Їсть,,
act.EnterShuttle,Заходить до Шатлу,,
act.FindBodyClothing,Одягає на тіло,,
act.FindHeadgear,Надіває на голову,,
act.FindHumanPrey,Шукає здобич,,
act.FindInstallableObject,Шукає установлюваний об'єкт,,
act.Firefight,Гасить пожежу,,
act.GatherRawMaterials,Збирає матеріали,,
act.GatherUnstoredRawMaterials,Збирає купи матеріалів,,
act.HarvestPlant,Збирає врожай,,
act.HaulRawMaterials,Несе матеріали,,
act.HaulToNutrientExtractor,Несе до Екстрактора Білка,,
act.HaulUnstoredItem,Несе предмет до складу,,
act.Heal,Отримує медичну допомогу,,
act.Install,Установлює об'єкт,,
act.InstallUpgrade,Установлює апгрейд,,
act.MLTrain,Проходить Машинне Навчання,,
act.MoveNextToObject,Рухається до цілі,,
act.MoveNextToPos,Рухається до позиції,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Рухає об'єкт,,
act.MoveToOrNextToPos,Рухається до позиції,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,Рухається до позиції,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Рухається в безпечне місце,,
act.MoveToWorkSpot,Рухається до місця роботи,,
act.None,Байдикує,,
act.Noop,Простоює,,
act.OperateDevice,Керує машиною,,
act.Panic,Панікує,,
act.Pet,Гладить тваринку,,
act.PlaceUnconstructed,Наказує монтувати,,
act.Process,Обробляє,,
act.ProcessStoredMat,Обробляє матеріали,,
act.ProvideTempGrid,Забезпечує тимчасове підключення,,
act.Recharge,Перезаряджається,,
act.RefillPetBowl,Поповнює Миску Домашньої Тварини,,
act.Relocate,Переміщує об'єкт,,
act.Repair,Ремонтує,,
act.ReplaceTile,Замінює об'єкт,,
act.RescueInSpace,Рятує застряглу в космосі істоту,,
act.researching,Досліджує,,
act.Ride,Їде,,
act.Roam,Тиняється,,
act.Sleep,Збирається спати,,
act.Socialize,Спілкується,,
act.StartFire,Розпалює Вогонь,,
act.StoreItem,Складає Предмет,,
act.StoreMat,Несе матеріали до складу,,
act.StoreRawMaterials,Складає Сировину,,
act.Uninstall,Вилучає об'єкт,,
act.UseFoodConsumptionSpot,Їсть,,
act.UseShower,Приймає душ,,
act.UseToilet,У туалеті,,
act.Vent,Дає вихід емоціям,,"Verb, when someone is expressing anger, etc"
act.Wait,Очікує,,
act.WaitForMaintenance,Проходить тех.обслуговування,,
act.WaitForRecharge,Перезаряджається,,
act.Workout,Займається фізичними вправами,,
action.process,Обробляти,,
action.required,Необхідно Прийняти Рішення,,
action.store,Нести до Складу,,
action.store.item,Нести до Складу Предметів,,
action.unavailable,Така Дія Недоступна,,
activate,Задіяти,,
activate.siren,Задіяти сирену,,
active,Активно,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
ad.rej.cancelled,Задачу було скасовано,,
ad.rej.construction.site.obstructed,Місце для монтажу заблоковане,,
ad.rej.could.not.reserve,Неможливо резервувати предмет,,
ad.rej.dock.not.available,Док недоступний,,
ad.rej.interrupted,Перервано,,
ad.rej.lacking.drink,Напій був недоступний,,
ad.rej.lacking.edible,Їжа недоступна,,
ad.rej.lacking.healer,Бракує медичного обладнання,,
ad.rej.lacking.mat,Бракує матеріалів,,
ad.rej.lacking.workout.equipment,Бракує тренажерів для фізичних вправ,,
ad.rej.no.flying.worker,"Виконання цього завдання вимагає Польоту, але наразі відсутні Працівники із здатністю літати",,
ad.rej.no.priority,Нульовий пріоритет для такого типу роботи,,
ad.rej.processor.queue.full,Черга обробника була заповнена,,
ad.rej.target.unavailable,Ціль недоступна,,
ad.rej.undefined,Невизначений (Баг),,
ad.rej.unreachable,Недосяжна локація,,
ad.rej.unreachable.item,Працівник не зміг дістатися до предмету,,
ad.rej.unreachable.mat.flying,Літаючий працівник не зміг дістатися до необхідного матеріалу. Переконайтесь що маршрут працівника до матеріалу нічим не заблоковано.,,
ad.rej.unreachable.mat.grounded,Наземний працівник не зміг дістатися до необхідного матеріалу. Переконайтесь що маршрут працівника до матеріалу нічим не заблоковано.,,
add,Додати,,
advanced,Розвинений,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,Відмінити {0},,
advert.priority,Пріоритет завдання: {0},,
advert.priority.down,Зменшити Пріоритет,,
advert.priority.up,Збільшити Пріоритет,,
advert.reject.info,Завдання відхилено <i>[{0}]</i> : {1} - {2},,
advert.rejected,Відхилено,,
advert.retry,Повторити Це Завдання,,
advert.task,<i>[{0}]</i>: {1},,
aesthetics,Естетика,,
aesthetics.at,Естетика: {0}: {1:0.0},,
after.settle,"На {0} було засновано колонію людей. Щоб знайти та тераформувати планету знадобилося {1} днів. На Кораблі вирішили залишитися {2} колоністів.<br><br>Тепер можна продовжити дослідження Всесвіту так довго, як того забажаєте.",,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Вік,,
airtightness.at,Герметичність у {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,Весь Час,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Перебування На Самоті,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Освітлення Оточення,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Яскраво,,Ambient light option when everything will be very bright
amb.color.dark,Туман Війни,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,Захоплююче Тьмяно,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,Середньо,,"Medium ambient light option, between bright and dark"
ammo,Заряд,,
ammo.bar,Заряди: {0}/{1},,
ammo.type,Заряди: {0},,
amount.left,Кількість у Залишку,,
animated.bg,Анімація Космосу на Задньому Плані,,
anomalies,Аномалії,,
anomalies.info,"На об'єкті присутні аномалії, що можуть виявитися упродовж експедиції. Це може бути небезпечно!",,
apply,Застосувати,,
area.size,Розмір {0},,
arriving.soon,Прибуває: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,"Ця дія порушує Перший закон Робототехніки Азімова. Робот не може заподіяти шкоду людині, або своєю бездіяльністю дозволити, щоб людині було заподіяно шкоду. Виконання перервано.",,
asimov.violation.3,"Ця дія порушує Третій закон Робототехніки Азімова. Робот повинен захищати самого себе, якщо тільки його дії не суперечать Першому і Другому законам. Виконання перервано.",,
assemble,Збирати,,
assembling.now,Збирання - {0},,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like ""Assembling Microchip"")
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like ""Assembling 85%"")"
assigned.to.selected.worker,Призначено обраному працівникові,,
assigned.to.worker,Призначено: {0},,
assigned.worker,Призначено,,
asteroid,Астероїд,,
asteroid.avoided,Чудова новина! Корабель уник зіткнення з астероїдом!,,
asteroid.impact,Удар Астероїда,,
asteroid.incoming,Виявлено Астероїд,,
ate.at.makeshift.table,Споживання їжі за недоладним столом,,
ate.at.table,Споживання їжі за файним столом,,
ate.from.a.bowl,Подобається гарна мисочка для їжі,,
ate.without.bowl,Довелося їсти просто з підлоги,,
ate.without.table,Довелося їсти взагалі без стола,,
attention,Увага,,
attracted.to,Приваблива Стать,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"Якщо увімкнено - звуки оточення (роботи пристроїв, двигунів та таке інше) звучатимуть приглушено відповідно до відстані.",,
audio.fx.cutoff.tip,"Якщо увімкнено - звукові ефекти (сигнали, вибухи та таке інше) звучатимуть приглушено відповідно до відстані.",,
audio.max.silence.tip,Довжина паузи між аудіо-треками.,,
audio.music.cutoff.tip,Якщо увімкнено - музика звучатиме більш приглушено при збільшенні (zoom in) масштабу.,,
audio.ui.hover,Звуки IK,,
auto,Авто,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Авто-Чистка,,
auto.clean.info,"Якщо увімкнено режим Авто-Чистка - ця споруда обслуговуватиметься працівниками автоматично, у міру потреби.",,
auto.close,Авто-Зачинення,,
auto.harvest,Авто-Жнива,,
auto.haul,Авто-Перенос,,
auto.haul.info,Якщо увімкнено режим Авто-Перенос - працівники автоматично переноситимуть сумісні предмети та матеріали до цієї споруди.,,
auto.refill.amount,Авто-Поповнення,,
auto.refill.amount.help,"Це найбільша кількість матеріалу який працівники додаватимуть у пристрій. Завдання для поповнення буде створено автоматично, коли кількість матеріалу у пристрої стане меншою за 50% від об'єму Авто-Поповнення.",2022-06-27,
auto.report.consent,Згода на Авто-Звітність,,
auto.report.consent.info,"Чи не бажали би ви автоматично відправляти звіти про аварійні ситуації або помилки безпосередньо до розробника?<br><br>Щоб ефективно виправляти помилки та недосконалості у грі - дуже важливо отримувати такі звіти, тож, будь ласка, розміркуйте та надайте дозвіл на таку автоматичну відправку.<br><br>Більше деталей про склад таких звітів можна отримати за наступним посиланням https://stardeusgame.com/privacy/",,
auto.reporting,Авто-Звітність про Помилки,,
auto.reporting.tip,"Якщо цю опцію увімкнено - розробнику відправлятимуться звіти про позаштатні ситуації, що трапились під час роботи гри - наприклад про помилки, виняткові та аварійні події тощо. Будь ласка, розміркуйте над можливістю залишити цю опцію увімкненою - це значно допоможе із аналізом та виправленням помилок та недосконалостей. Знайти більше деталей про склад звіту, що пересилатиметься розробнику, ви зможете за наступним посиланням https://stardeusgame.com/privacy/",,
auto.save.on.exit,Автозбереження при Виході,,
auto.save.periodic,Періодичне Автозбереження,,
autoclean.amount,"Авто-Чистка, кількість ",,
autoclean.disabled,Авто-Чистку Вимкнено,,
autoclean.dust.amount,"Авто-Чистка, починати із",,
autoclean.dust.tooltip,"Коли кількість пилу досягне такого значення, буде автоматично створено завдання для очищення поверхні панелі.",,
autoclean.enabled,Авто-Чистку Увімкнено,,
autoclean.interval.minutes,Інтервал Авто-Чистки (хвилини),,
autosave,Автозбереження,,
autosave.short,A,,
autosaving,Автозбереження,,
autoscale.on,Автомасштаб ІК Увімкнено,,
autoscale.on.why,"Роздільну здатність екрана змінено - автоматично буде змінено і масштаб ІК, бо попереднє налаштування перестало бути придатним для використання.",,
available.count,Кількість на борту: {0},2022-12-22,Tells how many items of that type are owned by the player. {0} is a number
available.materials,Інвентар,2022-06-17,
available.materials.none,Немає доступних матеріалів!,,
available.memory,Доступно RAM: {0} EБ,,
available.storage,Доступно Диск: {0} ЗБ,,
available.tasks,Незавершені Завдання,,
basic,Базовий,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Заряд Батареї,,
battery.charge.bar,Заряд: {0},2022-07-12,
battery.charge.rate,"Заряджання, потужність",,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,"Розряджання, потужність",,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Батарея Розряджена,,
battery.info,Батарея: {0},,
battery.mode,Режим: {0},,
battery.state,"Батарея, Стан",,
battery.state.Charging,Заряджається,,
battery.state.Discharging,Розряджається,,
battery.state.Idle,Спокій,,
battery.ttd,Час до Розрядженого Стану,,
battery.ttd.tip,"Кількість часу, що залишається до повного вичерпання заряду, за максимальної інтенсивності розрядження у {0}",,
beautiful.surroundings,Прекрасні інтер'єри,,
being.can.reach,{0} може дістатися до {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} не може дістатися до {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,Летальне ушкодження - {0} ,,
being.no.longer.available,Ця істота більше не є членом команди,,
being.taking.damage,Ушкодження - {0},,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0} вважає локацію {1} безпечною,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0} вважає локацію {1} небезпечною!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} - пробудження від стазису,2022-05-17,
beings,Істоти,,
beings.carrier01,Дрон-Перевізник,,
beings.carrier01.desc,"Механічна істота. Спритний літаючий дрон, призначений для переносу вантажів.",2026-07-18,
beings.cat01,Кіт,,
beings.cat01.desc,"Біологічна істота. Невеликий, одомашнений (на думку людей) ссавець. Був широко розповсюджений на Землі як компаньон та як засіб контролю популяції гризунів.",2026-07-18,
beings.cleaningbot01,Бот-Чистильник,,
beings.cleaningbot01.desc,Механічна істота. Призначений для усування забруднення підлоги.,,
beings.crawler01,Краулер,,
beings.crawler01.desc,Це здоровезне павукоподібне створіння схоже на біологічну істоту. Поза сумнівом є чимось позаземним. Виглядає загрозливо.,,
beings.dog01,Собака,,
beings.dog01.desc,"Біологічна істота. Одомашнений ссавець, якого утримують як компаньона або робочу тварину - для захисту або пошуку.",2026-07-18,
beings.drone01,Дрон-Монтажник,,
beings.drone01.desc,"Механічна істота. Дрон, здатний переміщатися у польоті - як у атмосфері, так і у відкритому космосі. Призначений для виконання монтажних операцій у космосі.",2026-07-18,
beings.human01,Людина,,
beings.human01.desc,Біологічна істота із складним минулим і сумнівними інстинктами виживання.,2026-07-18,
beings.robot01,Робот-Монтажник,,
beings.robot01.desc,"Механічна істота. Важкий Робот, здатний виконувати найбільш складні монтажні операції.",2026-07-18,
beings.sentry01,Дрон-Охоронець,,
beings.sentry01.desc,"Механічна істота. Може переміщатися у польоті, як у атмосфері так і у відкритому космосі. Цей дрон створений для виконання бойових та надзвичайних завдань.",2026-07-18,
biowaste.accumulation,Накопичення Біо-відходів,,
biowaste.amount,"Біо-відходи, Кількість",,
biowaste.amount.bar,Біо-відходи: {0}/{1},,
biowaste.amount.warning,Потрібно прибрати Біо-відходи,,
birth.date,Дата Народження,,
blocked.door,Двері Заблоковано,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Половина,,
bomb.arm,Спорядити Вибухівку,,
bomb.armed,Вибухівка: Споряджено,,
bomb.controls,Контроль Вибухівки,,
bomb.detonate.now,Підірвати негайно,,
bomb.disarm,Розрядити Вибухівку,,
bomb.unarmed,Вибухівка: Розряджено,,
bored,Нудьга,,
brain.stat.Completed,Виконані Завдання,,
brain.stat.CompletedStreak,Виконані Поспіль,,
brain.stat.FailedStreak,Невдалі Завдання,,
brain.stat.JobPriority0,Відсутній пріоритет,,
breach.capsule.incoming,Наближення Капсули Зломщиків,,
breakdown.BreakdownDeconstruct,Псих.зрив: Ламає Речі,,
breakdown.BreakdownDeconstruct.desc,{0} розрушає випадкові об'єкти через психічне порушення,,
breakdown.BreakdownInsanity,Божевілля,,
breakdown.BreakdownInsanity.desc,"У {0} через постійний стрес трохи поїхала стріха. Скоріше за все згодом попустить, хіба що знов станеться щось погане.",,
breakdown.BreakdownRoamAround,Псих.зрив: Блукає,,
breakdown.BreakdownRoamAround.desc,"{0} тиняється безцільно, витріщившись у порожнечу",,
breakdown.BreakdownSpaceDiarrhea,Член Команди Інфікований,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} було інфіковано Космічною Діареєю,,
breakdown.BreakdownStartFire,Псих.зрив: Підпалює Предмети,,
breakdown.BreakdownStartFire.desc,{0} прогулюється та підпалює речі,,
breakdown.CrawlerAttached,Напад краулера на колоніста!,,
breakdown.CrawlerAttached.desc,Іншопланетне створіння вчепилося у лице {0}!,,
breakdown.Deconstruct,Демонтує випадкові об'єкти,,
brew,Зварити,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Готується Напій: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,Навігаційна Рубка,,
build.a.copy,Змонтувати Копію,,
build.connector,Змонтувати Конектор,,
bullet,Куля,,
bullet.target,Ціль: {0},,
buy,Купити,,
call.back,Відкликати експедицію,,
calories,Калорії,,
cancel,Відмінити,,
cancel.drag.dist.px,Ігнорувати дистанцію у: {0} пікселів,,
cancel.task,Відмінити Завдання,,
cannot.be.empty,Не може бути порожнім,,
cannot.build.floor.not.constructed,Підлогу не змонтовано,,
cannot.build.floor.not.constructed.info,Монтувати стіни або предмети можна лише на існуючій підлозі. Слід спершу змонтувати підлогу.,,
cannot.change.lock.state,Неможливо змінити стан блокування,,
cannot.create.template,Неможливо Створити Шаблон,,
cannot.enter.no.tech,Наразі неможливо відправити експедицію до цього об'єкта через недоступність необхідної технології та нестачу технічних засобів.,,
cannot.enter.space.object.nearby,"Неможливо змінити діапазон Зоряної Мапи. Вірогідно десь поряд у космосі знаходиться рухливий об'єкт, що перешкоджає виконанню завдання.",,
cannot.enter.while.moving,"Наразі неможливо відправити експедицію до цього об'єкта через рух Корабля. Зачекайте, будь ласка, його повної зупинки - значення Вектора Швидкості повинно дорівнювати нулю по всіх осях.",,
cannot.reach.position,Неможливо дістатися до позиції,,
cannot.save.gen,Неможливо зберегти стан гри прямо зараз - будь ласка спробуйте знову після закінчення поточної операції,,
carbohydrates,Вуглеводи,,
carbon.buildup,Накопичення Вуглецю,,
carbon.buildup.help,"Під час роботи у Реакторах концентрується та накопичується Вуглець. Коли концентрація сягне 100%, вуглець буде викинуто назовні. ",,
change,Змінити,,
change.color,Змінити Колір,,
change.target.material,Змінити Цільовий Матеріал,,
changelog,Журнал Змін,,
charge.time.left,Буде Повністю Заряджено За,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%
charging,Заряджається,,
chart,Діаграма,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.
chasing.target,Переслідує {0},,"{0} will be the target (person) name (i.e. ""Chasing John"")"
choose.color,Оберіть Колір,,
clean.biowaste,Прибрати Біо-відходи,,
clean.dust,Очистити від Пилу,,
clean.floors,Очистити Підлогу,,
clean.now,Очистити Негайно,,
clean.priority,Пріоритет Чищення,,
clean.solar.panel,Очистити Сонячну Панель,,
cleaning.bot,Бот-Чистильник,,A robot that cleans floors
cleaning.floors,Очищує підлогу,,Displayed when a person or robot is cleaning floors (action).
cleaning.ocd,ОКР-Чистка,,"Name of a human trait, which makes someone become obsessive about cleaning. OCD is short for Obsessive Compulsive Disorder."
clear.all,Очистити,,
clear.history,Очистити Історію,,
click.input.to.rebind,Задіяти нове призначення (очікування 5 сек),,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say ""Press a button"" because it may not always be a button (gamepad stick is a small joystick, etc)"
click.to.bind,Клікніть щоб призначити,,
clipboard.is.empty,Кліпбоард порожній,,
clone,Розпочати Інкубацію,,
clone.desc,"Клон - це біологічна істота, що була вирощена в лабораторії, а не народжена природним шляхом. Незважаючи на фактичний вік клонованої істоти, її зовнішній вигляд та стан психологічного розвитку/поведінка відповідатимуть дорослій істоті.",,
cloning.bar,Інкубація: {0},,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. I.e. ""Cloning: Human"""
close,Закрити,,
close.floor.vent,Зачинити вент.отвір (підлога),,
close.starmap,Закрити Зоряну Мапу,,
close.vent,Зачинити вент.отвір (стіна),,
codex,Кодекс,,
codex.blueprints,Креслення,,
codex.blueprints.mode.All,Всі,,
codex.blueprints.mode.Locked,Заблоковані,,
codex.blueprints.mode.Unlocked,Розблоковані,,
codex.entry,Розділ Кодексу,,
codex.equipment,Спорядження,,
codex.factions,Фракції,,
codex.m.basebuilding,Основи Будівництва,,
codex.m.basebuilding.buildacopy,Як монтувати копії існуючих об'єктів,,
codex.m.basebuilding.relocatingobjects,Переміщення Об'єктів,,
codex.m.basebuilding.teleporters,Телепорти,,
,,,
codex.m.basebuilding.winching,Використання Лебідки,,
codex.m.basebuilding.winching.desc,Використайте {0} та {1} щоб поєднати віддалені секції.,2026-06-25,"{0} is winch hook, {1} is winch anchor"
codex.m.bigquestions,Важливі Питання,,
codex.m.bigquestions.gameover,Кінець Гри,,
codex.m.bigquestions.goodvsevil,Добро чи Зло,,
codex.m.bigquestions.goodvsevil.desc,"Ставши частиною ШІ Корабля, та отримавши повний (майже) контроль над Кораблем, можна обрати певну стратегію поведінки та розвитку. Або, інакше кажучи - обрати бік Добра чи Зла. Це повністю ваша воля. На Темному (або Злому) боці стане у пригоді певна технологія, що модифікує алгоритми роботи керуючого модуля Азімова.",,
codex.m.bigquestions.reversingupload,Зворотне Вивантаження Свідомості,,
codex.m.bigquestions.reversingupload.desc,"Вашу свідомість було вивантажено у Корабельний Комп'ютер. Це незворотний процес - адже під час вивантаження даних руйнується мозкова тканина. А ваше колишнє тіло, скоріше за все, наразі є протеїновими печеньками у одній із коробок із Аварійним Раціоном Харчування. Такі справи.",,
codex.m.bigquestions.whatami,Хто я?,,
