Key,Translation,Version,Comment
achievement.HatchCrawlers,Pas ce genre de naissance,,
achievement.HatchCrawlers.desc,Permettre aux Crawlers d'éclore à l'intérieur d'un colon,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Acquérir 100.000 Starcreds",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Acquérir 1.000.000 Starcreds",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Acquérir 10.000.000 Starcreds",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Acquérir 100.000.000 Starcreds",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Acquérir 1.000.000.000 Starcreds",,
achievement.OnePiece,Un seul morceau,,
achievement.OnePiece.desc,Reconnecter les sections du vaisseau naufragé en une seule pièce,,
achievement.StasisDestroyed,Plus aucun espoir,,
achievement.StasisDestroyed.desc,Faites détruire votre caisson de stase,,
achievement.StockMarketLoss,L'un d'entre nous,,
achievement.StockMarketLoss.desc,Vendre avec une perte de 100 000 $ au marché,,
achievement.TerraformAtmosphere,Atmosphère terraformée,,
achievement.TerraformAtmosphere.desc,Créer une atmosphère sur une planète,,
achievement.TerraformBiosphere,Biosphère créé !,,
achievement.TerraformBiosphere.desc,Créer une biosphère sur une planète,,
achievement.TerraformOceans,Terraformer les océans,,
achievement.TerraformOceans.desc,Créer des océans et des fleuves sur une planète,,
achievement.TerraformTerrain,Terraformer un terrain,,
achievement.TerraformTerrain.desc,Créer un relief et des continents sur une planète,,
achievement.TheMatrix,Attention à Néo !,,
achievement.TheMatrix.desc,Transformez votre réseau de stase en matrice,,
achievement.unlocked,Succès débloqué: {0},,
achievement.VoidRipper,Surffer du vide,,
achievement.VoidRipper.desc,Traverser un trou noir,,
achievement.WeaponizedCleaningBot,Le Terminator,,
achievement.WeaponizedCleaningBot.desc,Armez un robot de nettoyage,,
achievement.Winch,Aller à la pêche !,,
achievement.Winch.desc,Treuiller deux sections de bateau ensemble,,
achievements,Succès,,
achievements.disabled,Succès désactivé,,
achievements.stat,Succès: [{0}/{1}],,
act.AnimalEat,Manger,,
act.BotDock,Quai,,
act.BreakdownDeconstruct,Détruire des objets,,
act.BreakdownInsanity,Devenir fou,,
act.BreakdownRoamAround,Déplacement en panne,,
act.BreakdownSpaceDiarrhea,Souffrant de diarrhée spatiale,,
act.BringResourcesAndConstruct,Construire,,
act.CatchTarget,Chasser quelqu'un,,
act.Clean,Nettoyage,,
act.CleanDevice,Nettoyage d'un appareil,,
act.CleanFloors,Sols propres,,
act.CleanSolarPanel,Nettoyage du panneau solaire,,
act.Construct,Construire,,
act.CrawlerAttached,Essayer de détacher la créature,,
act.Deconstruct,Déconstruire,,
act.Disassemble,Démontage,,
act.Drink,Boire une boisson,,
act.Eat,Manger,,
act.EnterShuttle,Navette entrante,,
act.FindBodyClothing,Équiper les vêtements,,
act.FindHeadgear,Trouver des couvre-chefs,,
act.FindHumanPrey,A la recherche d'une proie,,
act.FindInstallableObject,Recherche d'objet installable,,
act.Firefight,Lutte contre l'incendie,,
act.GatherRawMaterials,Rassembler des matériaux,,
act.GatherUnstoredRawMaterials,Rassembler des tas de matériaux,,
act.HarvestPlant,Récolte des plantes,,
act.HaulRawMaterials,Matériel de transport,,
act.HaulToNutrientExtractor,Transport vers l'extracteur de nutriments,,
act.HaulUnstoredItem,Transporter l'article jusqu'au stockage,,
act.Heal,Obtenir des soins médicaux,,
act.Install,Installation de l'objet,,
act.InstallUpgrade,Installation d'une mise à jour,,
act.MLTrain,Faire de l'apprentissage automatique,,
act.MoveNextToObject,Se déplacer vers la cible,,
act.MoveNextToPos,Se déplacer vers la position,,
act.MoveObj,Objet en mouvement,,
act.MoveToOrNextToPos,Se déplacer vers la position,,
act.MoveToPos,Se déplacer vers la position,,
act.MoveToSafety,Passer à la sécurité,,
act.MoveToWorkSpot,Aller au travail,,
act.None,Rien,,
act.Noop,En attente,,
act.OperateDevice,Utilisation d'un appareil,,
act.Panic,Paniquer,,
act.Pet,Caresser un animal,,
act.PlaceUnconstructed,Commande de construction,,
act.Process,Traitement,,
act.ProcessStoredMat,Traitement du matériel stocké,,
act.ProvideTempGrid,Fournir une connexion temporaire,,
act.Recharge,Rechargement,,
act.RefillPetBowl,Remplissage de la gamelle pour animaux de compagnie,,
act.Relocate,Relocaliser un objet.,,
act.Repair,Réparer les dégâts,,
act.ReplaceTile,Remplacement d'un objet,,
act.RescueInSpace,Sauver un être coincé dans l'espace,,
act.researching,Faire des recherches,,
act.Ride,En route,,
act.Roam,Vagabonde,,
act.Sleep,Aller dormir,,
act.Socialize,socialisation,,
act.StartFire,Démarrer le feu,,
act.StoreItem,Article de stockage,,
act.StoreMat,Transporter les matériaux jusqu'au stockage,,
act.StoreRawMaterials,Stockage des matériaux,,
act.Uninstall,Désinstallation de l'objet,,
act.UseFoodConsumptionSpot,Manger,,
act.UseShower,Douche,,
act.UseToilet,Utiliser les toilettes,,
act.Vent,Ventilation,,
act.Wait,Attendre,,
act.WaitForMaintenance,Réception de l'entretien,,
act.WaitForRecharge,Rechargement,,
act.Workout,Travailler,,
action.extract_nutrients,Extraire les nutriments,,
action.process,Traiter,,
action.required,Action requise,,
action.store,Transport à l'unité de stockage,,
action.store.item,Transport au stockage d'articles,,
action.unavailable,Action non disponible,,
actions.available,Actions disponibles: {0},,
activate,Activer,,
activate.siren,Activer la sirène,,
active,Actif,,
active.orders,Commandes actives,,
active.orders.info,"Les commandes actives sont émises directement par vous via les outils. Il existe une limite d'ordres actifs que vous pouvez émettre en fonction de la quantité de ressources mémoire dont dispose votre ordinateur de bord à un moment donné. Si vous passez plus de commandes que votre ordinateur de bord ne peut en gérer, vous devrez attendre que le nombre de commandes actives diminue avant de passer de nouvelles commandes.",,
ad.rej.cancelled,La tâche a été annulée,,
ad.rej.construction.site.obstructed,Chantier obstrué,,
ad.rej.could.not.reserve,Impossible de réserver l'article,,
ad.rej.dock.not.available,Quai non disponible,,
ad.rej.emergency.siren,Le travailleur a été distrait par une sirène d'urgence,,
ad.rej.interrupted,Interrompu,,
ad.rej.lacking.bed,Impossible de trouver un lit,,
ad.rej.lacking.body.clothing,Je ne trouve pas de vêtements de corps,,
ad.rej.lacking.drink,La boisson n'est pas disponible,,
ad.rej.lacking.edible,La nourriture n'est pas disponible,,
ad.rej.lacking.healer,Manque d'appareil de guérison,,
ad.rej.lacking.mat,Manque de matériaux,,
ad.rej.lacking.shower,Manque de douche,,
ad.rej.lacking.skill,Le travailleur manquait de compétence,,
ad.rej.lacking.toilet,Manque de toilettes,,
ad.rej.lacking.workout.equipment,Manque de matériel d'entraînement,,
ad.rej.nav.fail.flying,"Le vol n'a pas réussi à trouver un chemin vers l'emplacement cible. Vérifiez si les portes sont alimentées et non verrouillées, ou si le travailleur n'est pas isolé.",,
ad.rej.nav.fail.grounded,"La mise à la terre n'a pas réussi à trouver un chemin vers l'emplacement cible. Vérifiez si les portes sont alimentées et non verrouillées, ou si elles ne sont pas murées.",,
ad.rej.no.flying.worker,Cette tâche nécessite de voler mais il n'y a pas d'ouvriers capables de voler,,
ad.rej.no.nutrient.extractor,Extracteur de nutriments non disponible,,
ad.rej.no.priority,Le travailleur avait 0 priorité pour ce type de tâche,,
ad.rej.no.processor,Processeur non disponible,,
ad.rej.no.storage,Unité de stockage non disponible,,
ad.rej.no.worker.can.level.up.enough,Aucun des travailleurs actuels ne peut atteindre un niveau de compétence suffisamment élevé pour réussir les compétences requises pour exécuter cette tâche,,
ad.rej.no.worker.with.skill,"Aucun de vos travailleurs n'a assez de compétences pour exécuter cette tâche. Ils peuvent monter de niveau s'ils travaillent sur des tâches plus faciles de ce type, ou si vous les entraînez dans ML Booth.",,
ad.rej.no.workers,Aucun travailleur disponible,,
ad.rej.processable.not.available,Aucun élément traitable,,
ad.rej.processor.queue.full,La file d'attente du processeur était pleine,,
ad.rej.taking.damage,Abandonné parce que le travailleur a subi des dommages,,
ad.rej.target.unavailable,Cible non disponible,,
ad.rej.undefined,Non défini (Bogue),,
ad.rej.unreachable,Emplacement inaccessible,,
ad.rej.unreachable.item,Le travailleur n'a pas pu atteindre l'élément,,
ad.rej.unreachable.mat.flying,Le travailleur volant n'a pas pu atteindre le matériel requis. Vérifiez si le travailleur a un chemin non bloqué vers le matériau.,,
ad.rej.unreachable.mat.grounded,Le travailleur au sol n'a pas pu atteindre le matériel requis. Vérifiez si le travailleur a un chemin non bloqué vers le matériau.,,
ad.rej.unsafe,Conditions dangereuses,,
ad.rej.unsafe.for.skilled,"Le travailleur qui est capable d'effectuer cette tâche n'a pas de conditions de sécurité autour du chantier. Très probablement, seul un humain peut construire cela.",,
ad.rej.urgent.need,Le travailleur avait un besoin urgent,,
ad.rej.worker.offline,Le travailleur s'est déconnecté,,
add,Ajout,,
add.log.entry,Ajouter une entrée de journal,,
add.to.queue,Ajouter à la file d'attente,,
adj.rej.unreachable,Cible inaccessible,,
advanced,Avancée,,
advert.cancel,Annuler {0},,
advert.priority,Priorité de la tâche: {0},,
advert.priority.down,Diminuer la priorité,,
advert.priority.up,Augmenter la priorité,,
advert.reject.info,Tâche rejetée <i>[{0}]</i>: {1} - {2},,
advert.rejected,Rejeté,,
advert.retry,Réessayer la tâche,,
advert.task,Tâche <i>[{0}]</i>: {1},,
aesthetics,Esthétique,,
aesthetics.at,Esthétique: {0}: {1:0.0},,
after.settle,Votre colonie humaine s'est installée à {0}. Il a fallu {1} jours pour trouver et terraformer la planète. {2} colons ont décidé de rester sur le vaisseau.<br><br>Vous pouvez maintenant continuer à explorer l'Univers aussi longtemps que vous le souhaitez.,,
age,Âge,,
ai.journal.log.acts,Journal des actes,,
ai.journal.log.ads,Journal des annonces,,
airtightness.at,Étanchéité à {0}: {1},,
all.time,Tout le temps,,
alone,Seul,,
amb.color,Obscurité,,
amb.color.bright,Beaucoup trop lumineux,,
amb.color.dark,Brouillard de guerre,,
amb.color.dim,Immersion faible,,
amb.color.mid,Immersion moyen,,
ammo,Munitions,,
ammo.bar,Munitions: {0}/{1},,
ammo.type,Type de munitions: {0},,
amount.left,Montant restant,,
animated.bg,Animation d'arrière-plan,,
anomalies,Anomalies,,
anomalies.info,Cet objet présente des anomalies que l'on pourrait trouver lors d'expéditions. Ceux-ci peuvent être dangereux !,,
apply,Appliquer,,
area.size,Taille {0},,
arriving.soon,Arrivée: {0},,
asimov.violation.1,"Cette action viole la première loi de la robotique d'asimov. Un robot ne peut pas blesser un être humain ou, par inaction, permettre à un être humain de subir un préjudice. Abandonner.",,
asimov.violation.3,Cette action viole la troisième loi de la robotique d'asimov. Un robot doit protéger sa propre existence tant qu'une telle protection n'entre pas en conflit avec la première ou la deuxième loi. Abandonner.,,
assemble,Assembler,,
assembling.now,Assemblage {0},,
assigned.to.selected.worker,Affecté au travailleur sélectionné,,
assigned.to.worker,Attribué à: {0},,
assigned.worker,Attribué,,
asteroid,Astéroïde,,
asteroid.avoided,Bonne nouvelle à tous. Nous avons évité une collision d'astéroïdes !,,
asteroid.impact,Impact d'astéroïde,,
asteroid.incoming,Astéroïde entrant,,
ate.at.makeshift.table,A mangé à une table bien remplie,,
ate.at.table,A mangé à table,,
ate.from.a.bowl,A mangé dans un bol,,
ate.without.bowl,A mangé sans bol,,
ate.without.table,A mangé sans table,,
attachment.Friendship,Amitié,,
attachment.Friendship.about,Cete personne est considérée comme un ami,,
attachment.PersonBed,Bed,,
attachment.PersonBed.about,Cette personne considère que ce lit est sa propriété. Ils essaieront de dormir ici dès qu'ils le pourront.,,
attachment.PetBed,Lit pour animaux de compagnie,,
attachment.PetBed.about,Cet animal considère ce lit comme sa propriété. Ils essaieront de dormir ici quand ils le pourront.,,
attention,Attention,,
attracted.to,Attirés,,
audio.amb.cutoff.tip,"Si cette option est activée, les sources d'ambiance (divers sons d'appareils, bruit de moteur, etc.) sonneront plus étouffées à distance.",,
audio.fx.cutoff.tip,"S'ils sont activés, les effets sonores (bips, explosions, etc.) seront plus étouffés à distance.",,
audio.max.silence,Silence entre les pistes: {0},,
audio.max.silence.tip,Règle les périodes de silence entre les pistes musicales.,,
audio.music.cutoff.tip,"Si activé, la musique sonnera plus étouffée lorsque vous zoomez de près.",,
audio.ui.hover,Sons de l'interface utilisateur,,
auto,Auto,,
auto.clean,Nettoyage automatique,,
auto.clean.info,"Si le nettoyage automatique est activé, les travailleurs nettoieront automatiquement cet appareil lorsqu'il est sale.",,
auto.close,Fermeture automatique,,
auto.harvest,Récolte automatique,,
auto.haul,Transport automatique,,
auto.haul.info,"Les travailleurs transporteront automatiquement les articles compatibles vers cette installation, à moins que le transport automatique ne soit désactivé dans la configuration de l'appareil.",,
auto.refill.amount,Montant de la recharge automatique,,
auto.refill.amount.help,Il s'agit de la quantité maximale de matériaux que les travailleurs mettront dans le réacteur lorsque la quantité de combustible est faible. La tâche de remplissage du réacteur sera automatiquement créée lorsque la quantité de carburant descend en dessous de 50 % de la quantité de remplissage automatique.,2022-06-27,
auto.report.consent,Consentement au signalement automatique,,
auto.report.consent.info,Souhaitez-vous signaler automatiquement les plantages et les erreurs du jeu au développeur ?<br><br>Il est très important d'avoir ces rapports afin de résoudre les problèmes et les problèmes liés au jeu. Veuillez donc envisager de les accepter.<br><br > Plus de détails sur https://stardeusgame.com/privacy/,,
auto.reporting,Rapport d'erreur automatique,,
auto.reporting.tip,"Si activé, enverra des erreurs de jeu, des exceptions et des plantages au développeur. Veuillez envisager de laisser cette option activée si vous souhaitez que le jeu s'améliore. En savoir plus sur ce qui est envoyé sur stardeusgame.com/privacy/",,
auto.save.on.exit,Sauvegarde automatique à la sortie,,
auto.save.periodic,Sauvegarde automatique périodique,,
autoclean.amount,Quantité de nettoyage automatique,,
autoclean.disabled,Nettoyage automatique désactivé,,
autoclean.dust.amount,Seuil de nettoyage automatique,,
autoclean.dust.tooltip,Créera automatiquement une tâche pour nettoyer le panneau lorsque le niveau de poussière atteint cette valeur,,
autoclean.enabled,Nettoyage automatique activé,,
autoclean.interval.minutes,Intervalle de nettoyage automatique (minutes),,
autosave,Sauvegarde automatique,,
autosave.short,A,,
autosaving,Sauvegarde automatique,,
autoscale.on,Activation de la mise à l'échelle automatique de l'interface utilisateur,,
autoscale.on.why,"Résolution de l'écran modifiée, mise à l'échelle automatique de l'interface utilisateur car la valeur précédente était hors de la plage valide",,
available.count,Disponible: {0},,
available.materials,Matériaux disponibles,2022-06-17,
available.materials.none,Aucun matériel disponible !,,
available.memory,Mémoire libre: {0}EB,,
available.storage,Stockage libre: {0}ZB,,
available.tasks,Tâches en attente,,
basic,De base,,
battery.charge,Charge de la batterie,,
battery.charge.bar,Charge: {0},2022-07-12,
battery.charge.rate,Taux de charge,,
battery.discharge.rate,Taux de décharge,,
battery.discharged,Batterie déchargée,,
battery.info,Batterie: {0},,
battery.mode,Mode: {0},,
battery.mode.Auto,Automatique,,
battery.mode.ChargeOnly,Charger seulement,,
battery.mode.DischargeOnly,Décharge seulement,,
battery.state,État,,
battery.state.Charging,Mise en charge,,
battery.state.Discharging,Décharge,,
battery.state.Idle,Inactif,,
battery.ttd,Temps avant décharge,,
battery.ttd.tip,"Temps jusqu'à décharge complète à partir de la charge actuelle jusqu'à la décharge de {0}",,
beautiful.surroundings,Un cadre magnifique,,
being.can.reach,{0} peut aller à {1},,
being.cannot.reach,{0} ne peut pas aller à {1},,
being.died,{0} est décédé,,
being.no.longer.available,L'être n'est plus disponible,,
being.taking.damage,A subi {0} de dégâts,,
being.thinks.safe,{0} pense que {1} est en sécurité,,
being.thinks.unsafe,{0} pense que {1} n'est pas sûr !,,
being.woke.up,{0} se réveille de la stase,2022-05-17,
beings,êtres,,
beings.carrier01,Drone transporteur,,
beings.carrier01.desc,Un drone volant agile capable d'effectuer uniquement des tâches simples de transport et de maintenance.,,
beings.cat01,Chat,,
beings.cat01.desc,Un chat de compagnie ordinaire,,
beings.cleaningbot01,Robot de nettoyage,,
beings.cleaningbot01.desc,Un aspirateur robot intelligent avec une seule tâche: nettoyer les sols,,
beings.crawler01,Crawler,,
beings.crawler01.desc,Une une espèce d'araignée extraterrestre invisible. Ça a l'air dangereux.,,
beings.dog01,Chien,,
beings.dog01.desc,Un chien de compagnie ordinaire,,
beings.drone01,Drone de chantier,,
beings.drone01.desc,"Les drones sont rapides et peuvent voler dans un espace ouvert. Ils ne peuvent pas porter beaucoup de poids et sont incapables d'effectuer des tâches avancées. A besoin d'une station de charge pour se recharger, deviendra lent et inefficace lorsque l'énergie est faible. Vous pouvez les créer à l'aide d'un assembleur.",,
beings.human01,Humain,,
beings.human01.desc,Quelqu'un comme toi l'habitude d'être,,
beings.robot01,Robot de chantier,,
beings.robot01.desc,"Les robots sont excellents pour les tâches mécaniques et peuvent effectuer des travaux de construction avancés. Ils ne sont pas aussi rapides, mais sont capables de transporter de grandes quantités de matériaux. A besoin d'un sol solide pour se déplacer et restera bloqué si les étages environnants sont déconstruits. A besoin d'une station de charge pour se recharger, deviendra lent et inefficace lorsque l'énergie est faible. Vous pouvez les créer à l'aide d'un assembleur.",,
beings.sentry01,Drone sentinelle,,
beings.sentry01.desc,"Un drone de sécurité qui ne fait pas beaucoup de travail, mais conçu pour le combat. A plus d'énergie qu'un drone ordinaire. Une isolation supplémentaire en fait d'excellents pompiers.",,
beta.wave.sync.bar,Onde bêta synchronisée: {0},,
bg.opt.unscaled,Non mis à l'échelle,,
bg.scale.warning,L'arrière-plan non mis à l'échelle surcharge la carte graphique et peut ralentir la simulation d'oxygène et de chaleur qui s'exécute sur le GPU. Non recommandé sur les ordinateurs portables ou les GPU de niveau inférieur.,,
biowaste.accumulation,Accumulation de biodéchets,,
biowaste.amount,Quantité de biodéchets,,
biowaste.amount.bar,Biodéchets: {0}/{1},,
biowaste.amount.warning,Nettoyage des biodéchets recommandé,,
birth.date,Date de naissance,,
bog.opt.half,Demi,,
bomb.arm,Arme éxplosive,,
bomb.armed,Explosif: Armé,,
bomb.controls,Contrôles des explosifs,,
bomb.detonate.now,Faire exploser maintenant,,
bomb.disarm,Désarmer l'explosif,,
bomb.unarmed,Explosif: Non armé,,
bored,Ennuyé,,
brain.stat.CanCompromiseHullIntegrity,Pourrait compromettre l'intégrité de la coque,,
brain.stat.CanCompromiseSafety,Pourrait compromettre la sécurité,,
brain.stat.Completed,Tâches terminées,,
brain.stat.CompletedStreak,Série terminée,,
brain.stat.Failed,Tâches ayant échoué,,
brain.stat.FailedStreak,Série d'échecs,,
brain.stat.JobPriority0,Pas de priorité de travail,,
brain.stat.LastEvalTime,Dernière évaluation,,
brain.stat.LastFailedAd,Dernier échec,,
brain.stat.LastSuccessfulAd,Dernier succès,,
brain.stat.NoNeed,Ce n'est pas nécessaire,,
brain.stat.NoSkill,Pas assez de compétence,,
brain.stat.Reluctant,Travailleur réticent à faire le travail,,
brain.stat.Total,Tâches disponibles,,
brain.stat.UnableToFly,Incapable de voler,,
brain.stat.UnreachableLoc,Avec un emplacement inaccessible,,
brain.stat.UnreachableLocMem,Emplacement inaccessible en mémoire,,
brain.stat.UnreachableMats,Avec des matériaux inaccessibles,,
brain.stat.Unsafe,Tâches dans un endroit dangereux,,
brain.stat.Workable,Tâches réalisables,,
breach.capsule.incoming,Capsule de brèche entrante,,
breakdown.BreakdownDeconstruct,dépression: casse des objets,,
breakdown.BreakdownDeconstruct.desc,{0} détruit des objets aléatoires en raison d'un effondrement mental,,
breakdown.BreakdownInsanity,Folie,,
breakdown.BreakdownInsanity.desc,"{0} avait trop de stress et est devenu fou. Cela devrait passer, à moins que quelque chose de grave ne se produise.",,
breakdown.BreakdownRoamAround,Répartition: itinérance,,
breakdown.BreakdownRoamAround.desc,"{0} erre sans but, regardant le vide",,
breakdown.BreakdownSpaceDiarrhea,Colon infecté,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} a été infecté par la diarrhée spatiale,,
breakdown.BreakdownStartFire,Allumer des incendies,,
breakdown.BreakdownStartFire.desc,{0} semble se promener et mettre le feu à des choses,,
breakdown.CrawlerAttached,La créature s'est attachée à un colon !,,
breakdown.CrawlerAttached.desc,Une créature extraterrestre s'est attachée au visage de {0} !,,
breakdown.Deconstruct,Déconstruire des objets aléatoires,,
brew,Brasser,,
brewing.bar,Brassage: {0},,
bridge.controls,Contrôles de pont,,
build.a.copy,Créer une copie,,
build.connector,Construire le connecteur,,
bullet,Balle,,
bullet.target,Cible: {0},,
buy,Acheter,,
call.back,Rappeler l'expédition,,
calories,Calories,,
cancel,Annuler,,
cancel.drag.dist.px,Distance de traînée ignorée: {0} pixels,,
cancel.task,Annuler la tâche,,
cannot.be.empty,Ne peux pas être vide,,
cannot.build.floor.not.constructed,Le sol n'est pas construit,,
cannot.build.floor.not.constructed.info,Vous ne pouvez commander la construction de murs et d'objets que si l'étage inférieur est déjà construit.,,
cannot.change.lock.state,Impossible de changer l'état du verrou,,
cannot.create.template,Impossible de créer un modèle,,
cannot.enter.no.tech,Impossible d'entrer cet objet pour le moment. La technologie nécessaire n'est pas disponible.,,
cannot.enter.space.object.nearby,Nous ne pouvons pas changer la portée de carte des étoiles. Il semble y avoir un objet spatial en mouvement à proximité qui peut interférer avec le processus.,,
cannot.enter.while.moving,Impossible d'entrer dans cet objet en se déplaçant. Veuillez attendre un arrêt complet. Le vecteur de vitesse doit afficher zéro sur tous les axes.,,
cannot.reach.position,Impossible d'atteindre cette position,,
cannot.save.gen,"Impossible d'enregistrer le jeu pour le moment, veuillez réessayer lorsque l'opération en cours est terminée",,
carbohydrates,Les glucides,,
carbon.buildup,Accumulation de carbone,,
carbon.buildup.help,"Les réacteurs accumulent du carbone au fil du temps. Lorsque l'accumulation atteint 100 %, le réacteur éjectera le carbone accumulé.",,
catch,Attraper,,
change,Changer,,
change.color,Changer de couleur,,
change.rate,Taux de changement: {0:0.0}. Cliquez sur l'icône pour plus de détails.,,
change.target.material,Modifier le matériel cible,,
changelog,Journal des modifications,,
charge.time.left,Charge complète dans,,
charging,Chargement,,
chart,Graphique,,
chasing.target,À la poursuite de {0},,
choose.color,Choisir la couleur,,
clean.biowaste,Propreté des biodéchets,,
clean.dust,Nettoyer la poussière,,
clean.floors,Sols propres,,
clean.now,Nettoie maintenant,,
clean.priority,Priorité de nettoyage,,
clean.solar.panel,Panneau solaire propre,,
cleaning.bot,Robot de nettoyage,,
cleaning.floors,Nettoyage des sols,,
cleaning.ocd,Nettoyage du trouble obsessionnel-compulsif,,
clear.all,Tout effacer,,
clear.history,Effacer l'historique,,
click.input.to.rebind,Activer la nouvelle entrée (attendre 5 sec),,
click.to.bind,Cliquer pour relier,,
clipboard.is.empty,Le presse-papiers est vide,,
clone,Cloner,,
clone.desc,"U,n clone est un être qui a été cultivé en laboratoire, plutôt que né de manière naturelle. Les clones ressemblent et agissent comme des adultes, quel que soit leur âge.",,
cloning.bar,C,lonage: {0},
close,Fermer,,
close.floor.v,ent,"Fermer l'évent du sol",
close.starmap,,Fermer la carte des étoiles,,
close.vent,Fe,rmer le conduit d'aération,
codex,Codex,,
codex.bluepri,nts,Plans,,
codex.bluepri,nts.mode.All,Tout,,
codex.bluepri,nts.mode.Locked,Verrouillé,,
codex.bluepri,nts.mode.Unlocked,Débloqué,,
codex.entry,E,ntrée Codex,
codex.equipme,nt,Équipement,,
codex.faction,s,Factions,,
codex.m.baseb,uilding,Construction de base,,
codex.m.baseb,uilding.buildacopy,Construire des copies d'objets existants,,
codex.m.baseb,uilding.buildacopy.desc,"Si vous souhaitez créer une copie de quelque chose que vous possédez déjà, sélectionnez l'élément et choisissez l'élément de menu ""Créer une copie"" dans le panneau d'informations ou le menu contextuel. Ou utilisez le raccourci {0} lorsque l'objet est sélectionné.<br><br>Pour créer une copie d'un connecteur d'énergie, faites glisser une connexion et déposez-la sur un étage vide (configurable, peut être désactivé).<br><br>Si vous ne pouvez pas créer une copie de cette façon, vérifiez si le plan est déverrouillé.",,
codex.m.baseb,uilding.devicewear,"Usure de l'appareil",,
codex.m.baseb,uilding.devicewear.desc,"La plupart des appareils, en particulier ceux qui utilisent l'électricité, perdront leur durabilité avec le temps. Certaines actions entreprises par vous ou vos colons peuvent accélérer l'usure. Par exemple, éteindre et rallumer l'appareil ajoute de l'usure.<br><br> Lorsqu'une usure de l'appareil atteint 100 %, l'appareil commencera à subir des dommages ""d'âge"" lors de son utilisation. À ce stade, l'appareil ne sera plus réparable. Vous pouvez déconstruire l'appareil pour récupérer les matériaux, puis en construire un tout nouveau pour le remplacer.",,
codex.m.baseb,uilding.relocatingobjects,Relocaliser des objets,,
codex.m.baseb,uilding.relocatingobjects.desc,"Vous souhaiterez souvent déplacer un appareil vers un autre emplacement. Sélectionnez l'appareil et choisissez l'élément de menu ""Déplacer"" dans le panneau d'informations ou le menu contextuel. Ou utilisez le raccourci {0} lorsque l'appareil est sélectionné.<br><br>Vous pouvez déplacer l'appareil sur lui-même. C'est utile lorsque vous souhaitez modifier la rotation.<br><br>Replacer un appareil peut impliquer un test de compétence en construction. Les appareils complexes comme l'ordinateur du vaisseau ou la matrice de stase ne peuvent être déplacé que par des travailleurs hautement qualifiés.<br><br>Si vous sélectionnez plusieurs objets, vous pouvez tous les déplacer en même temps.",,
codex.m.baseb,uilding.teleporters,Téléporteurs,
codex.m.baseb,uilding.teleporters.desc,"Le <b>téléporteur</b> peut être utilisé pour créer des portails à sens unique vers d'autres téléporteurs.<br><br>Deux téléporteurs peuvent se relier, créant un portail bidirectionnel.<br><br>Un téléporteur fonctionnel est également requis pour commercer avec des marchands, des stations spatiales ou des avant-postes planétaires.",
codex.m.baseb,uilding.winching,Treuillage,,
