Key,Translation,Version,Comment (context for translators),,,,,,,,,,,,,,,,,,,,,,,
act.Recharge,?aduje baterie,,,,,,,,,,,,,,,,,,,,,,,,,
act.RefillPetBowl,Nape?nia misk? zwierzaka,,,,,,,,,,,,,,,,,,,,,,,,,
act.Relocate,Przenosi objekt,,,,,,,,,,,,,,,,,,,,,,,,,
act.Repair,Naprawia szkody,,,,,,,,,,,,,,,,,,,,,,,,,
act.ReplaceTile,Wymienia objekt,,,,,,,,,,,,,,,,,,,,,,,,,
act.RescueInSpace,Ratuje istot? z kosmosu,,,,,,,,,,,,,,,,,,,,,,,,,
act.researching,Wykonuje badania,,,,,,,,,,,,,,,,,,,,,,,,,
act.Ride,Je?dzi,,,,,,,,,,,,,,,,,,,,,,,,,
act.Roam,Spraceruje,,,,,,,,,,,,,,,,,,,,,,,,,
act.Sleep,Idzie spa?,,,,,,,,,,,,,,,,,,,,,,,,,
act.Socialize,Sp?dza czas towarzysko,,,,,,,,,,,,,,,,,,,,,,,,,
act.StartFire,Rozpala ogie?,,,,,,,,,,,,,,,,,,,,,,,,,
act.StoreItem,Przechowywuje przedmiot,,,,,,,,,,,,,,,,,,,,,,,,,
act.StoreMat,Holuje materia?y do magazynu,,,,,,,,,,,,,,,,,,,,,,,,,
act.StoreRawMaterials,Sk?aduje materia?y,,,,,,,,,,,,,,,,,,,,,,,,,
act.Uninstall,Odinstalowywuje obiekt,,,,,,,,,,,,,,,,,,,,,,,,,
act.UseFoodConsumptionSpot,Je,,,,,,,,,,,,,,,,,,,,,,,,,
act.UseShower,Bierze prysznic,,,,,,,,,,,,,,,,,,,,,,,,,
act.UseToilet,Korzysta z toalety,,,,,,,,,,,,,,,,,,,,,,,,,
act.Vent,Daje upust emocjom,,"Verb, when someone is expressing anger, etc",,,,,,,,,,,,,,,,,,,,,,,
act.Wait,Czeka,,,,,,,,,,,,,,,,,,,,,,,,,
act.WaitForMaintenance,Jest konserwowany,,,,,,,,,,,,,,,,,,,,,,,,,
act.WaitForRecharge,?aduje si?,,,,,,,,,,,,,,,,,,,,,,,,,
act.Workout,?wiczy,,,,,,,,,,,,,,,,,,,,,,,,,
action.extract_nutrients,Wydobywa ?rodki od?ywcze,,,,,,,,,,,,,,,,,,,,,,,,,
action.process,Proces,,,,,,,,,,,,,,,,,,,,,,,,,
action.required,Wymagana akcja,,,,,,,,,,,,,,,,,,,,,,,,,
action.store,Holuje do Magazynu,,,,,,,,,,,,,,,,,,,,,,,,,
action.store.item,Holuje do Magazynu Przedmiotów,,,,,,,,,,,,,,,,,,,,,,,,,
action.unavailable,Nie mo?na wykona? akcji,,,,,,,,,,,,,,,,,,,,,,,,,
actions.available,Mo?liwe akcje: {0},,,,,,,,,,,,,,,,,,,,,,,,,
activate,Aktywacja,,,,,,,,,,,,,,,,,,,,,,,,,
activate.siren,Aktywacja syreny,,,,,,,,,,,,,,,,,,,,,,,,,
active,Aktywne,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)",,,,,,,,,,,,,,,,,,,,,,,
active.orders,Aktywne zadania,,,,,,,,,,,,,,,,,,,,,,,,,
active.orders.info,"Ca?kowita liczba aktywnych zada? jest ograniczona przez <b>Pami??</b>. Zbuduj nowe <b>Modu?y Pami?ci</b>, aby zwi?kszy? limit.<br><br>Po osi?gni?ciu limitu nie mo?na tworzy? nowych rozkazów.",2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.cancelled,Przerwano zadanie,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.construction.site.obstructed,Miejsce budowy jest czym? zablokowane,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.could.not.reserve,Nie uda?o si? zarezerwowa? przedmiotu,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.dock.not.available,Dok niedost?pny,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.emergency.siren,Pracownik zosta? rozproszony syren? awaryjn?,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.interrupted,Zak?ucono,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.bed,Nie mo?na znale?? ?ó?ka,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.body.clothing,Nie mo?na znale?? ubra?,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.drink,Picie niedost?pne,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.edible,Jedzenie jest niedost?pne,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.healer,Brak urz?dzenia do leczenia,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.mat,Brakuje materia?ów,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.shower,Brakuje prysznica,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.skill,Pacownik nie posiada wystarczaj?cych umiej?tno?ci,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.toilet,Brakuje toalety,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.lacking.workout.equipment,Brak sprz?tu do pracy,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.nav.fail.flying,Lataj?ce stworzenie nie mog?o znale?? drogi do celu. Sprawd? czy drzwi s? pod??czone do pr?du i nie s? zamkni?te oraz czy stworzenie nie jest zamurowane.,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.nav.fail.grounded,Naziemne stworzenie nie mog?o znale?? drogi do celu. Sprawd? czy drzwi s? pod??czone do pr?du i nie s? zamkni?te oraz czy stworzenie nie jest zamurowane.,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.flying.worker,"Ta czynno?? wymaga umiej?tno?ci latania, ale ?aden pracownik nie umie lata?.",,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.nutrient.extractor,Ekstraktor Sk?adników Od?ywczych nie jest dost?pny,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.priority,Priorytet tego pracownika wynosi? 0 dla tego typu zada?.,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.processor,Procesor niedost?pny,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.storage,Magazyn niedost?pny,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.worker.can.level.up.enough,?aden z obecnych pracowników nie b?dzie w stanie osi?gn?? poziomu umiej?tno?ci wymaganego do wykonania tego zadania.,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.worker.with.skill,"Nikt jeszcze nie posiada <nobr><b>Wymaganych Umiej?tno?ci</b></nobr>. Zbuduj <b>Kabin? NM</b> lub przeszkol pracowników prostszymi zadaniami, które wymagaj? tych samych umiej?tno?ci.",2022-11-19,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.no.workers,Brak dost?pnych pracowników,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.processable.not.available,Brak przedmiotów do procesowania,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.processor.queue.full,Kolejka Procesora by?a pe?na,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.taking.damage,"Porzucono, poniewa? pracownik otrzyma? obra?enia",,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.target.unavailable,Cel niedost?pny,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.undefined,Niezdefiniowany (B??d),,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unreachable,Niedost?pne miejsce,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unreachable.item,Pracownik nie mo?e doj?? do przedmiotu,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unreachable.mat.flying,"Lataj?cy pracownik nie móg? dosta? si? do wymaganego materia?u. Sprawd?, czy pracownik ma bezpo?redni? drog? do materia?u.",,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unreachable.mat.grounded,"Naziemny pracownik nie móg? dosta? si? do wymaganego materia?u. Sprawd?, czy pracownik ma bezpo?redni? drog? do materia?u.",,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unsafe,Niebezpieczne warunki,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.unsafe.for.skilled,Warunki wokó? miejsca pracy nie s? bezpieczne dla pracownika który mo?e wykona? to zadanie. Najprawdopodbniej jest to zadanie dla cz?owieka.,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.urgent.need,Pracwonik mia? wa?n? potrzeb?,,,,,,,,,,,,,,,,,,,,,,,,,
ad.rej.worker.offline,Pracownik jest offline,,,,,,,,,,,,,,,,,,,,,,,,,
add,Dodaj,,,,,,,,,,,,,,,,,,,,,,,,,
add.log.entry,Dodaj wpis do Dziennika,,,,,,,,,,,,,,,,,,,,,,,,,
add.to.queue,Dodaj do kolejki,,,,,,,,,,,,,,,,,,,,,,,,,
advanced,Zaawansowane,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function",,,,,,,,,,,,,,,,,,,,,,,
advert.cancel,Anuluj {0},,,,,,,,,,,,,,,,,,,,,,,,,
advert.priority,Priorytet zadania: {0},,,,,,,,,,,,,,,,,,,,,,,,,
advert.priority.down,Zmniejsz priorytet,,,,,,,,,,,,,,,,,,,,,,,,,
advert.priority.up,Zwi?ksz priorytet,,,,,,,,,,,,,,,,,,,,,,,,,
advert.reject.info,Zadanie odrzucone <i>[{0}]</i>: {1} - {2},,,,,,,,,,,,,,,,,,,,,,,,,
advert.rejected,Odrzucono,,,,,,,,,,,,,,,,,,,,,,,,,
advert.retry,Ponów zadanie,,,,,,,,,,,,,,,,,,,,,,,,,
advert.task,Zadanie <i>[{0}]</i>: {1},,,,,,,,,,,,,,,,,,,,,,,,,
aesthetics,Estetyka,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetics.at,Estetyka: {0}: {1:0.0},,,,,,,,,,,,,,,,,,,,,,,,,
after.settle,Twoja ludzka kolonia zamieszka?a na planecie {0}. Znalezienie i terraformacja planety zaj??a {1} dni. {2} kolonistów zdecydowa?o pozosta? na statku.<br><br> Dzi?ki nim mo?esz dalej odkrywa? galaktyk?.,,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)",,,,,,,,,,,,,,,,,,,,,,,
age,Wiek,,,,,,,,,,,,,,,,,,,,,,,,,
airtightness.at,Szczelno?? {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage.",,,,,,,,,,,,,,,,,,,,,,,
all.time,Od samego pocz?tku,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)",,,,,,,,,,,,,,,,,,,,,,,
alone,Samotnie,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd",,,,,,,,,,,,,,,,,,,,,,,
amb.color,Jasno?? otoczenia,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light""",,,,,,,,,,,,,,,,,,,,,,,
amb.color.bright,A? za jasno,,Ambient light option when everything will be very bright,,,,,,,,,,,,,,,,,,,,,,,
amb.color.dark,Mg?a wojny,,"Darkest ambient light option, that will keep things very dark unless there are light sources",,,,,,,,,,,,,,,,,,,,,,,
amb.color.dim,Immersyjne zaciemnienie,,Somewhat dark ambient light option that still has good visibility,,,,,,,,,,,,,,,,,,,,,,,
amb.color.mid,Srednie,,"Medium ambient light option, between bright and dark",,,,,,,,,,,,,,,,,,,,,,,
ammo,Amunicja,,,,,,,,,,,,,,,,,,,,,,,,,
ammo.bar,Amunicja: {0}/{1},,,,,,,,,,,,,,,,,,,,,,,,,
ammo.type,Rodzaj amunicji: {0},,,,,,,,,,,,,,,,,,,,,,,,,
amount.left,Pozosta?o,,,,,,,,,,,,,,,,,,,,,,,,,
animated.bg,Animacja kosmosu w tle,,,,,,,,,,,,,,,,,,,,,,,,,
anomalies,Anomalie,,,,,,,,,,,,,,,,,,,,,,,,,
anomalies.info,"Ten objekt posiada anomalie, które mog? by? odnalezione podczas ekspedycji. Mog? by? niebezpieczne!",,,,,,,,,,,,,,,,,,,,,,,,,
apply,Zastosuj,,,,,,,,,,,,,,,,,,,,,,,,,
area.size,Rozmiar {0},,,,,,,,,,,,,,,,,,,,,,,,,
arriving.soon,Przybywa: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.,,,,,,,,,,,,,,,,,,,,,,,
asimov.violation.1,"Ta akcja narusza Pierwsze Prawo Robotyki Asimova. Robot nie mo?e skrzywdzi? cz?owieka ani przez zaniechanie dopu?ci?, aby cz?owiek dozna? krzywdy. Przerwano.",,,,,,,,,,,,,,,,,,,,,,,,,
asimov.violation.3,"Ta akcja narusza Trzecie Prawo Robotyki Asimova. Robot musi chroni? swoj? egzystencj?, o ile taka ochrona nie jest sprzeczna z Pierwszym lub Drugim Prawem. Przerywanie.",,,,,,,,,,,,,,,,,,,,,,,,,
assemble,Z?ó?,,,,,,,,,,,,,,,,,,,,,,,,,
assembling.now,Sk?ada {0},,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like ""Assembling Microchip"")
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like ""Assembling 85%"")",,,,,,,,,,,,,,,,,,,,,,,
