Key,Translation,Version,Comment
act.CrawlerAttached,Zkouší odejmout Plížívce,,
act.Deconstruct,Rozebírá,,
act.Disassemble,Rozmontovavá,,
act.Drink,Pije nápoj,,
act.Eat,Konzumuje,,
act.EnterShuttle,Nastupuje do lodi,,
act.FindBodyClothing,Obléká se,,
act.FindHeadgear,Hledá helmu,,
act.FindHumanPrey,Hledá kořist,,
act.FindInstallableObject,Hledá objekt vhodný k instalaci,,
act.Firefight,Hasí,,
act.GatherRawMaterials,Sbírá materiál,,
act.GatherUnstoredRawMaterials,Sbírá hromady materiálu,,
act.HarvestPlant,Sklízí plodiny,,
act.HaulRawMaterials,Nese materiály,,
act.HaulToNutrientExtractor,Nese k Nutričnímu Extraktoru,,
act.HaulUnstoredItem,Nese předmět do skladu,,
act.Heal,Nechává se ošetřit,,
act.Install,Instaluje objekt,,
act.InstallUpgrade,Instaluje vylepšení,,
act.MLTrain,Zlepšuje se,,
act.MoveNextToObject,Přesouvá se k cíli,,
act.MoveNextToPos,Přesouvá se na pozici,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Přesouvá objekt,,
act.MoveToOrNextToPos,Přesouvá se na pozici,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,Přesouvá se na pozici,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Přesouvá se do bezpečí,,
act.MoveToWorkSpot,Přesouvá se na pracoviště,,
act.None,Nedělá nic,,
act.Noop,Nečinný,,
act.OperateDevice,Obsluhuje zařízení,,
act.Panic,Panikaří,,
act.Pet,Hladí mazlíčka,,
act.PlaceUnconstructed,Nařizuje konstrukci,,
act.Process,Zpracovává,,
act.ProcessStoredMat,Zpracovává uložený materiál,,
act.ProvideTempGrid,Poskytuje dočasné spojení,,
act.Recharge,Dobíjí se,,
act.RefillPetBowl,Doplňuje misku pro mazlíčky,,
act.Relocate,Přesouvá objekt,,
act.Repair,Opravuje,,
act.ReplaceTile,Nahrazuje objekt,,
act.RescueInSpace,Zachraňuje bytost z vesmíru,,
act.researching,Zkoumá,,
act.Ride,Jezdí,,
act.Roam,Potuluje se,,
act.Sleep,Jde spát,,
act.Socialize,Druží se,,
act.StartFire,Zakládá požár,,
act.StoreItem,Ukládá předmět,,
act.StoreMat,Přesouvá materiály,,
act.StoreRawMaterials,Ukládá materiály,,
act.Uninstall,Odebírá objekt,,
act.UseFoodConsumptionSpot,Stravuje se,,
act.UseShower,Myje se,,
act.UseToilet,Použivá toaletu,,
act.Vent,Rozčiluje se,,"Verb, when someone is expressing anger, etc"
act.Wait,Čeká,,
act.WaitForMaintenance,Dostává údržbu,,
act.WaitForRecharge,Nabíjí se,,
act.Workout,Posiluje,,
action.extract_nutrients,Extrahovat živiny,,
action.process,Zpracovat,,
action.required,Vyžadovaná akce,,
action.store,Uskladnit do skladu,,
action.store.item,Uskladnit mezi předměty,,
action.unavailable,Akce je nedostupná,,
actions.available,Dostupných akcí {0},,
activate,Aktivovat,,
activate.siren,Aktivovat Sirénu,,
active,Aktivní,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,Aktivní Příkazy,,
active.orders.info,"Aktivní rozkazy, jsou zadány přímo tebou skrze nástroje. Limit rozkazů, které můžeš zadat je omezen pamětí lodního počítače. Pokud zadáš více rozkazů, než tvůj lodní počítač zvládne, budeš muset počkat, než počet aktivních ůkolů klesne a poté budeš moci zadat nové.",,
ad.rej.cancelled,Úkol byl zrušen,,
ad.rej.construction.site.obstructed,Místo pro konstrukci je blokováno,,
ad.rej.could.not.reserve,Položku se nepodařilo rezervovat,,
ad.rej.dock.not.available,Dok není k dispozici,,
ad.rej.emergency.siren,Pracovník byl vyrušen pohotovostní sirénou,,
ad.rej.interrupted,Přerušeno,,
ad.rej.lacking.bed,Nemohl najít postel,,
ad.rej.lacking.body.clothing,Nemůže najít oblečení,,
ad.rej.lacking.drink,Nápoj nebyl k dispozici,,
ad.rej.lacking.edible,Potraviny nejsou k dispozici,,
ad.rej.lacking.healer,Chybí zařízení pro léčení,,
ad.rej.lacking.mat,Chybí materály,,
ad.rej.lacking.shower,Chybí sprcha,,
ad.rej.lacking.skill,Pracovník nemá dovednost,,
ad.rej.lacking.toilet,Chybí toaleta,,
ad.rej.lacking.workout.equipment,Chybí stroj k posilování,,
ad.rej.nav.fail.flying,"Létající bytosti se nepodařilo najít cestu k cílovému místu. Zkontrolujte, zda jsou dveře napájené a nejsou zamčené nebo zda pracovník není zazděný.",,
ad.rej.nav.fail.grounded,"Pozemní bytosti se nepodařilo najít cestu k cílovému místu. Zkontrolujte, zda jsou dveře napájené a nejsou zamčené nebo zda není bytost zazděná.",,
ad.rej.no.flying.worker,"Tento úkol vyžaduje létání, ale nejsou k dispozici žádní pracovníci se schopností létat.",,
ad.rej.no.nutrient.extractor,Extraktor živin není k dispozici,,
ad.rej.no.priority,Pracovník měl pro tento typ úkolu prioritu 0.,,
ad.rej.no.processor,Procesor není k dispozici,,
ad.rej.no.storage,Úložná jednotka není k dispozici,,
ad.rej.no.worker.can.level.up.enough,"Žádný z aktuálních pracovníků nemůže dosáhnout dostatečně vysoké úrovně dovedností, aby splnil požadavek na dovednosti pro provedení tohoto úkolu.",,
ad.rej.no.worker.with.skill,"Žádný z pracovníků nemá dostatečnou úroveň dovedností pro provedení tohoto úkolu. Úroveň mohou zvýšit, pokud budou pracovat na jednodušších úkolech tohoto typu nebo pokud je vyškolíte v kabině strojového učení.",,
ad.rej.no.workers,Žádní pracovníci nejsou k dispozici,,
ad.rej.processable.not.available,Nejsou žádné zpracovatelné položky,,
ad.rej.processor.queue.full,Fronta procesoru byla plná,,
ad.rej.taking.damage,"Opuštěno, protože pracovník byl poškozen",,
ad.rej.target.unavailable,Cíl není k dispozici,,
ad.rej.undefined,Nedefinováno (chyba),,
ad.rej.unreachable,Nedosažitelná lokace,,
ad.rej.unreachable.item,Pracovník nemohl dosáhnout položky,,
ad.rej.unreachable.mat.flying,"Létající pracovník nemohl dosáhnout na požadovaný materiál. Zkontrolujte, zda má pracovník nezablokovanou cestu k materiálu.",,
ad.rej.unreachable.mat.grounded,"Pozemní pracovník nemohl dosáhnout na požadovaný materiál. Zkontrolujte, zda má pracovník odblokovanou cestu k materiálu.",,
ad.rej.unsafe,Nebezpečné podmínky,,
ad.rej.unsafe.for.skilled,"Pracovník, který je schopen tento úkol vykonávat, nemá kolem pracoviště bezpečné podmínky. S největší pravděpodobností jej může postavit pouze člověk.",,
ad.rej.urgent.need,Pracovník měl naléhavou potřebu,,
ad.rej.worker.offline,Pracovník přešel do režimu offline,,
add,Přidat,,
add.log.entry,Přidat záznam protokolu,,
add.to.queue,Přidat do fronty,,
adj.rej.unreachable,Cíl nedosažitelný,,
advanced,Pokročilý,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,Zrušit {0},,
advert.priority,Priorita úlohy: {0},,
advert.priority.down,Snížení priority,,
advert.priority.up,Zvýšení priority,,
advert.reject.info,Úkol odmítnut <i>[{0}]</i>: {1} - {2},,
advert.rejected,Odmítnuto,,
advert.retry,Opakování úlohy,,
advert.task,Úkol <i>[{0}]</i>: {1},,
aesthetics,Estetika,,
aesthetics.at,Estetika: {0}: {1:0.0},,
after.settle,"Vaše lidská kolonie se usadila v {0}. Nalezení a teraformování planety trvalo {1} dní. {2} kolonistů se rozhodlo zůstat na lodi.<br><br>Nyní můžete pokračovat v průzkumu vesmíru, jak dlouho budete chtít.",,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Věk,,
airtightness.at,Vzduchotěsnost na {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,Po celý čas,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Samota,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Okolní světlo,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Příliš jasný,,Ambient light option when everything will be very bright
amb.color.dark,Válečná mlha,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,Poutavý dým,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,Střední,,"Medium ambient light option, between bright and dark"
ammo,Munice,,
ammo.bar,Munice: {0}/{1},,
ammo.type,Typ munice: {0},,
amount.left,Zbývá,,
animated.bg,Animace vesmírného pozadí,,
anomalies,Anomálie,,
anomalies.info,"Tento objekt má anomálie, které lze nalézt během expedic. Ty mohou být nebezpečné!",,
apply,Použít,,
area.size,Velikost {0},,
arriving.soon,Příjezd: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,"Tato akce porušuje Asimovův první zákon robotiky. Robot nesmí zranit člověka nebo svou nečinností dopustit, aby se člověk zranil. Přerušení.",,
asimov.violation.3,"Tato akce porušuje Asimovův třetí zákon robotiky. Robot musí chránit svou vlastní existenci, pokud tato ochrana není v rozporu s prvním nebo druhým zákonem. Přerušení.",,
assemble,Sestavit,,
assembling.now,Sestavování {0},,
assigned.to.selected.worker,Přiřazeno vybranému pracovníkovi,,
assigned.to.worker,Přiřazeno : {0},,
assigned.worker,Přiřazeno,,
asteroid,Asteroid,,
asteroid.avoided,Skvělé zprávy pro všechny. Vyhnuli jsme se srážce s asteroidem! ,,
asteroid.impact,Dopad asteroidu,,
asteroid.incoming,Přilétající asteroid,,
ate.at.makeshift.table,Jedl u provizorního stolu,,
ate.at.table,Jídlo u stolu,,
ate.from.a.bowl,Jedl z mísy,,
ate.without.bowl,Jídlo bez misky,,
ate.without.table,Jídlo bez stolu,,
attachment.Friendship,Přátelství,,
attachment.Friendship.about,Tato bytost je považována za přítele,,
attachment.PersonBed,Postel,,
attachment.PersonBed.about,"Tato osoba považuje tuto postel za svůj majetek. Snaží se zde spát, kdykoli může.",,
attachment.PetBed,Lůžko pro domácího mazlíčka,,
attachment.PetBed.about,"Toto zvíře považuje tuto postel za svůj majetek. Snaží se zde spát, kdykoli může.",,
attention,Pozor,,
attracted.to,Přitažlivost k ,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"Pokud je tato funkce povolena, budou zdroje okolního prostředí (různé zvuky zařízení, hluk motoru atd.) znít na větší vzdálenost tlumeněji.",,
audio.fx.cutoff.tip,"Pokud je tato funkce povolena, zvukové efekty (pípání, výbuchy atd.) budou na větší vzdálenost znít tlumeněji.",,
audio.max.silence,Ticho mezi skladbami: {0},,
audio.max.silence.tip,Upravuje doby ticha mezi hudebními skladbami. ,,
audio.music.cutoff.tip,"Pokud je tato funkce povolena, bude hudba při přiblížení znít tlumeněji.",,
audio.ui.hover,Zvuky uživatelského prostředí,,
auto,Auto.,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Auto. Vyčištění,,
auto.clean.info,"Pokud je povolena funkce Auto Vyčištění, pracovníci automaticky vyčistí toto zařízení, když se znečistí.",,
auto.close,Auto. Zavření,,
auto.harvest,Auto. Sbírání,,
auto.haul,Auto. Přeprava,,
auto.haul.info,"Pracovníci automaticky odvezou kompatibilní položky do tohoto zařízení, pokud není funkce Auto. Přeprava v konfiguraci zařízení zakázána.",,
auto.refill.amount,Auto. hodnota doplňování,,
auto.refill.amount.help,"Jedná se o maximální množství paliva, které pracovníci do zařízení vloží. Úloha Doplnit palivo se automaticky vytvoří, když množství paliva klesne pod 50 % množství automatického doplňování.",2022-06-27,
auto.report.consent,Auto. Hlášení zpráv,,
auto.report.consent.info,"Chcete automaticky hlásit pády a chyby hry vývojáři?<br><br>Je velmi důležité mít tyto zprávy k dispozici, aby bylo možné vyřešit problémy s hrou, proto prosím zvažte přijetí tohoto požadavku.<br><br> >Další podrobnosti na https://stardeusgame.com/privacy/",,
auto.reporting,Automatické hlášení chyb,,
auto.reporting.tip,"Pokud je tato funkce povolena, odešle vývojáři chyby, výjimky a pády ve hře. Pokud chcete, aby se hra zlepšila, zvažte, zda tuto funkci nechat povolenou. Více informací o tom, co se odesílá, najdete na adrese stardeusgame.com/privacy/.",,
auto.save.on.exit,Auto. ukládání při ukončení,,
auto.save.periodic,Periodické Auto. ukládání,,
autoclean.amount,Auto. Objem čištění,,
autoclean.disabled,Auto. Čištění vypnuto,,
autoclean.dust.amount,Auto. Práh čištění,,
autoclean.dust.tooltip,"Automaticky vytvoří úlohu čištění panelu, když hladina prachu dosáhne této hodnoty.",,
autoclean.enabled,Auto. Čištění povoleno,,
autoclean.interval.minutes,Auto. Interval čištění (Minuty),,
autosave,Auto. Uložení,,
autosave.short,A,,
autosaving,Automatické ukládání,,
autoscale.on,Povolení UI Auto Scale,,
autoscale.on.why,"Změna rozlišení obrazovky. Automatické škálování uživatelského rozhraní, protože předchozí hodnota byla mimo platný rozsah.",,
available.count,K dispozici: {0},,
available.materials,Inventář,2022-06-17,
available.materials.none,Nejsou k dispozici žádné materiály!,,
available.memory,Dostupná paměť: {0}EB,,
available.storage,Dostupná paměť: {0}ZB,,
available.tasks,Nevyřízené úkoly,,
basic,Základní,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Nabíjení baterie,,
battery.charge.bar,Nabíjení: {0},2022-07-12,
battery.charge.rate,Rychlost nabíjení,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,Rychlost vybíjení,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Vybitá baterie,,
battery.info,Baterie: {0},,
battery.mode,Režim: {0},,
battery.state,Stav,,
battery.state.Charging,Nabíjení,,
battery.state.Discharging,Vybíjení,,
battery.state.Idle,Nečinnost,,
battery.ttd,Doba do vybití,,
battery.ttd.tip,Doba do úplného vybití z aktuální hodnoty nabití při maximální rychlosti vybíjení {0},,
beautiful.surroundings,Krásné okolí,,
being.can.reach,{0} může přejít na {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} nemůže přejít na {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} zemřel,,
being.no.longer.available,Bytost již není k dispozici,,
being.taking.damage,Utrpěla {0} poškození,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,"{0} si myslí, že {1} je v bezpečí",,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,"{0} si myslí, že {1} není bezpečný!",,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} se probudil ze stáze,2022-05-17,
beings,Bytosti,,
beings.carrier01,Nosný dron,,
beings.carrier01.desc,"Obratný létající dron, který je schopen provádět pouze jednoduché úkoly přepravy a údržby.",,
beings.cat01,Kočka,,
beings.cat01.desc,"Malý domestikovaný masožravý savec s měkkou srstí, krátkým čenichem a zatažitelnými drápy. Je hojně chován jako domácí mazlíček nebo k chytání myší a bylo vyšlechtěno mnoho plemen.",2022-09-12,
beings.cleaningbot01,Čistící robot,,
beings.cleaningbot01.desc,Chytrý robotický vysavač s jediným úkolem - úklidem podlah,,
beings.crawler01,Plíživec,,
beings.crawler01.desc,Nevídaný cizí druh podobný pavoukovi. Vypadá nebezpečně.,,
beings.dog01,Pes,,
beings.dog01.desc,"Domestikovaný masožravý savec, který má obvykle dlouhý čenich, ostrý čich, nezatažitelné drápy a štěkavý, vyjící nebo kňučící hlas.",2022-09-12,
beings.drone01,Stavební dron,,
beings.drone01.desc,Drony jsou rychlé a mohou létat v otevřeném prostoru. Nemohou nést velkou váhu a nejsou schopny plnit pokročilé úkoly. K dobíjení potřebuje dobíjecí stanici. Při nedostatku energie se stávají pomalými a neefektivními. Můžete je vytvořit pomocí sestavovače.,,
beings.human01,Člověk,,
beings.human01.desc,"Někdo, jako jsi býval ty.",,
beings.robot01,Stavební robot,,
beings.robot01.desc,"Roboti jsou skvělí v mechanických úkonech a mohou provádět pokročilé stavební práce. Nejsou tak rychlí, ale jsou schopni přenášet velké množství materiálu. K pohybu potřebují pevnou půdu a při rozpadu okolní podlahy se zaseknou. K dobíjení potřebuje dobíjecí stanici. Při nedostatku energie se stane pomalým a neefektivním. Můžete je vytvořit pomocí sestavovače.",,
beings.sentry01,Strážní dron,,
beings.sentry01.desc,"Bezpečnostní dron, který nemá moc práce, ale je stavěný pro boj. Má více zdraví než běžný dron. Díky dodatečné izolaci jsou skvělými hasiči.",,
beta.wave.sync.bar,Synchronizace vln beta: {0},,
biowaste.accumulation,Akumulace bioodpadu,,
biowaste.amount,Množství bioodpadu,,
biowaste.amount.bar,Bioodpad: {0}/{1},,
biowaste.amount.warning,Doporučený úklid bioodpadu,,
birth.date,Datum narození,,
blocked.door,Zablokované dveře,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Polovina,,
bomb.arm,Výbušnina,,
bomb.armed,Výbušnina: Zajištěna,,
bomb.controls,Ovládání výbušniny,,
bomb.detonate.now,Odpálit,,
bomb.disarm,Odjistit Výbušninu,,
bomb.unarmed,Výbušnina: Odjištěna,,
bored,Znuděný,,
brain.stat.CanCompromiseHullIntegrity,Mohlo by to ohrozit integritu trupu,,
brain.stat.CanCompromiseSafety,Mohlo by to ohrozit bezpečnost,,
brain.stat.Completed,Dokončené úkoly,,
brain.stat.CompletedStreak,Dokončená série,,
brain.stat.Failed,Neúspěšné úkoly,,
brain.stat.FailedStreak,Neúspěšná série,,
brain.stat.JobPriority0,Žádná priorita práce,,
brain.stat.LastEvalTime,Poslední hodnocení,,
brain.stat.LastFailedAd,Poslední neúspěch,,
brain.stat.LastSuccessfulAd,Poslední úspěch,,
brain.stat.NoNeed,Není potřeba,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,Nedostatečné dovednosti,,
brain.stat.Reluctant,Pracovník se zdráhá vykonávat svou práci,,
brain.stat.Total,Dostupné úkoly,,
brain.stat.UnableToFly,Nemožnost létat,,
brain.stat.UnreachableLoc,S nedosažitelnou polohou,,
brain.stat.UnreachableLocMem,Nedostupné místo v paměti,,
brain.stat.UnreachableMats,S nedostupnými materiály,,
brain.stat.Unsafe,Úkoly na nebezpečném místě,,
brain.stat.Workable,Proveditelné úkoly,,
breach.capsule.incoming,Příchozí kapsle,,
breakdown.BreakdownDeconstruct,Zhroucení: Rozbíjení věcí,,
breakdown.BreakdownDeconstruct.desc,{0} ničí náhodné předměty v důsledku duševního zhroucení,,
breakdown.BreakdownInsanity,Šílenství,,
breakdown.BreakdownInsanity.desc,"{0} měl příliš mnoho stresu a zešílel. Mělo by to přejít, pokud se nestane něco zlého.",,
breakdown.BreakdownRoamAround,Zhroucení: Toulá se po okolí,,
breakdown.BreakdownRoamAround.desc,{0} bezcílně se potuluje a zírá do prázdna.,,
breakdown.BreakdownSpaceDiarrhea,Infikovaný kolonista,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} byl nakažen vesmírným průjmem,,
breakdown.BreakdownStartFire,Rozdělávání požárů,,
breakdown.BreakdownStartFire.desc,"{0} zdá se, že se prochází a zapaluje věci.",,
breakdown.CrawlerAttached,Tvor se přisál ke kolonistovi!,,
breakdown.CrawlerAttached.desc,Na tvář {0} se přilepil mimozemský tvor!,,
breakdown.Deconstruct,Dekonstrukce náhodných objektů,,
brew,Pivo,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Vaření piva: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,Ovládání můstku,,
build.a.copy,Postavit Kopii,,
build.connector,Postavit Konektor,,
bullet,Kulka,,
bullet.target,Cíl: {0},,
buy,Koupit,,
call.back,Zavolat expedici zpět,,
calories,Kalorie,,
cancel,Zrušit,,
cancel.drag.dist.px,Ignorovaná vzdálenost odporu: {0} pixelů,,
cancel.task,Zrušit úlohu,,
cannot.be.empty,Nemůže být prázdný,,
cannot.build.floor.not.constructed,Podlaha není zkonstruována,,
cannot.build.floor.not.constructed.info,"Stavbu stěn a objektů lze objednat pouze v případě, že podlaha pod nimi je již postavena.",,
cannot.change.lock.state,Nelze změnit stav zámku,,
cannot.create.template,Nelze vytvořit šablonu,,
cannot.enter.no.tech,Tento objekt zatím nelze zadat. Potřebná technologie není k dispozici.,,
cannot.enter.space.object.nearby,"Rozsah Hvězdné mapy nemůžeme změnit. Zdá se, že se v blízkosti pohybuje vesmírný objekt, který může tento proces narušit.",,
cannot.enter.while.moving,Do tohoto objektu nelze vstoupit za pohybu. Vyčkejte na úplné zastavení. Vektor rychlosti by měl na všech osách ukazovat nulu.,,
cannot.reach.position,Této pozice nelze dosáhnout,,
cannot.save.gen,Hru nyní nelze uložit. Zkuste to prosím znovu po dokončení aktuální operace.,,
carbohydrates,Sacharidy,,
carbon.buildup,Nahromadění uhlíku,,
carbon.buildup.help,"V reaktorech se časem hromadí uhlík. Když nahromaděný uhlík dosáhne 100 %, reaktor jej vyhodí.",,
change,Změna,,
change.color,Změna barvy,,
change.target.material,Změna cílového materiálu,,
changelog,Seznam změn,,
